Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty,Deviation
1997-01-29,5.0063,9.375,9.5625,9.25,9.375,544000.0,9.45,9.83,9.3958,3124.0,0.455
1997-01-30,5.0563,9.4688,9.4688,9.2812,9.4688,132800.0,9.4375,9.8269,1.8457,1874.0,0.4094
1997-01-31,5.1064,9.5625,9.5625,9.3438,9.5625,135600.0,9.45,9.8231,1.5839,2186.5,0.3666
1997-02-03,5.0563,9.4688,9.5,9.3438,9.4688,36400.0,9.475,9.8175,9.4375,1561.5,0.3622
1997-02-04,5.073,9.5,9.5625,9.375,9.5,73200.0,9.475,9.8119,6.331,1874.0,0.3527
1997-02-05,5.2399,9.8125,9.9062,9.6875,9.8125,164400.0,9.5625,9.8119,5.8812,2186.5,0.322
1997-02-06,5.2899,9.9062,9.9375,9.7812,9.9062,77200.0,9.65,9.8119,2.1707,1561.5,0.3002
1997-02-07,5.2566,9.8438,9.9688,9.7812,9.8438,168800.0,9.7062,9.8088,3.2022,1874.0,0.2811
1997-02-10,5.3567,10.0312,10.0625,9.9375,10.0312,56000.0,9.8188,9.8119,10.0104,1249.0,0.2749
1997-02-11,5.3233,9.9688,10.125,9.8438,9.9688,205600.0,9.9125,9.8106,7.843,2811.5,0.2656
1997-02-12,5.4068,10.125,10.1562,9.9375,10.125,288400.0,9.975,9.8131,5.2819,2186.5,0.2701
1997-02-13,5.4234,10.1562,10.1562,9.9688,10.1562,86000.0,10.025,9.8088,1.3649,1874.0,0.2774
1997-02-14,5.4068,10.125,10.1562,10.0,10.125,379200.0,10.0812,9.8069,3.7702,1561.5,0.2807
1997-02-18,5.5569,10.4062,10.4688,10.2812,10.4062,344400.0,10.1562,9.8075,10.3854,1874.0,0.3143
1997-02-19,5.5236,10.3438,10.4688,10.25,10.3438,61600.0,10.2312,9.8119,1.571,2186.5,0.3333
1997-02-20,5.5236,10.3438,10.375,10.2188,10.3438,29200.0,10.275,9.8169,0.6919,1561.5,0.3485
1997-02-21,5.5069,10.3125,10.375,10.2188,10.3125,47200.0,10.3062,9.8131,1.008,1561.5,0.3592
1997-02-24,5.4401,10.1875,10.3125,10.1875,10.1875,37200.0,10.3188,9.815,10.2292,1249.0,0.3599
1997-02-25,5.5403,10.375,10.4062,10.25,10.375,28400.0,10.3125,9.8212,4.4781,1561.5,0.3726
1997-02-26,5.4902,10.2812,10.4062,10.0,10.2812,29200.0,10.3,9.8294,3.1508,4061.5,0.377
1997-02-27,5.5903,10.4688,10.625,10.4688,10.4688,154800.0,10.325,9.8425,6.5249,1561.5,0.3925
1997-02-28,5.5903,10.4688,10.5938,10.4375,10.4688,68400.0,10.3562,9.8575,2.2585,1561.5,0.405
