Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty
1998-03-31,52.8811,88.1875,89.3125,88.0625,88.4688,620000.0,88.4219,84.1747,88.5208,3.4444
1998-04-01,53.3308,88.9375,89.2031,87.7188,88.3594,373700.0,88.4344,84.3772,33.3272,1.5676
1998-04-02,54.0616,90.1562,90.25,88.8281,88.9062,440600.0,88.7406,84.6234,27.5685,0.1375
1998-04-03,54.0242,90.0938,90.5781,89.8125,90.25,493300.0,89.1062,84.8816,23.0736,3.9
1998-04-06,54.1928,90.375,91.25,90.3438,90.875,610500.0,89.55,85.1491,90.6562,0.8125
1998-04-07,53.9024,89.8906,90.3906,89.25,90.375,707300.0,89.8906,85.4006,48.2216,1.3548
1998-04-08,53.537,89.2812,90.0625,88.8281,90.0625,949500.0,89.9594,85.6219,37.435,0.58
1998-04-09,54.1928,90.375,90.4688,89.625,89.6562,451700.0,90.0031,85.8469,14.9774,0.1739
1998-04-13,54.1741,90.3438,90.7344,89.5625,90.7344,337900.0,90.0531,86.0656,9.9719,2.0
1998-04-14,54.8299,91.4375,91.5156,90.5312,90.5312,451500.0,90.2656,86.3097,11.7317,0.0862
1998-04-15,55.1766,92.0156,92.0156,91.2031,91.6562,261800.0,90.6906,86.5297,6.3707,1.2609
1998-04-16,54.6051,91.0625,91.7031,90.7969,91.7031,232800.0,91.0469,86.7178,5.3031,0.4146
1998-04-17,55.1954,91.7031,91.75,90.5781,90.7344,382900.0,91.3125,86.9275,7.9745,0.2097
1998-04-20,54.9508,91.2969,91.6562,91.0,91.5938,299400.0,91.5031,87.1288,91.3177,1.2105
1998-04-21,55.3176,91.9062,91.9219,90.9688,91.25,372000.0,91.5969,87.3247,50.7519,0.4524
1998-04-22,55.28,91.8438,92.1094,91.6875,91.8594,503400.0,91.5625,87.5259,39.3705,26.0
1998-04-23,54.9602,91.3125,92.0312,91.1094,91.7188,597700.0,91.6125,87.6891,30.8492,1.2692
1998-04-24,54.4994,90.5469,91.5625,90.0625,91.2188,820200.0,91.3812,87.8369,28.7005,1.2326
1998-04-27,53.7188,89.25,89.875,88.3906,89.4375,1916800.0,90.9719,87.9481,89.1719,6.9167
1998-04-28,53.5589,88.9844,90.125,88.6562,90.0312,437200.0,90.3875,88.055,16.5771,0.403
1998-04-29,53.8222,89.4219,89.9531,88.9219,89.2812,298700.0,89.9031,88.1622,10.0703,6.3333
1998-04-30,54.6969,90.875,91.3125,90.2188,90.3281,443100.0,89.8156,88.2872,12.9964,1.0
1998-05-01,55.1671,91.6562,91.6562,90.8125,91.0938,338300.0,90.0375,88.4438,9.0015,0.5
1998-05-04,55.2611,91.8125,92.5781,91.8125,91.9844,542500.0,90.55,88.5944,92.0677,3.4545
1998-05-05,55.0636,91.4844,91.8594,90.9688,91.5,325600.0,91.05,88.7391,34.2956,56.0
1998-05-06,54.3395,90.2812,91.8594,90.2812,91.8438,665500.0,91.2219,88.8647,39.4055,0.01
1998-05-07,54.0103,89.7344,90.625,89.7188,90.625,593100.0,90.9938,88.9656,25.1067,0.0175
1998-05-08,54.7345,90.9375,90.9844,89.6875,89.75,638100.0,90.85,89.0812,20.8953,0.0921
1998-05-11,54.7251,90.9219,91.8438,90.6875,91.2812,703100.0,90.6719,89.1878,91.151,2.2174
1998-05-12,55.3269,91.9219,91.9219,90.6094,90.9062,479000.0,90.7594,89.3119,37.0705,0.2923
1998-05-13,55.5245,92.25,92.3594,91.625,91.9062,399400.0,91.1531,89.4347,23.2539,1.1364
1998-05-14,55.2611,91.8125,92.2969,91.3438,91.5625,622900.0,91.5688,89.5603,25.945,2.8125
1998-05-15,54.7034,90.7969,91.875,90.7969,91.875,280900.0,91.5406,89.6806,10.3029,0.0
1998-05-18,54.5435,90.5312,91.3281,90.0,90.875,249200.0,91.4625,89.7706,90.6198,2.8636
1998-05-19,54.5623,90.5625,91.3125,90.375,91.125,482100.0,91.1906,89.8644,59.8258,0.6667
1998-05-20,55.2965,91.7812,91.875,90.6406,91.25,304400.0,91.0969,89.9656,26.8726,1.3235
1998-05-21,55.0518,91.375,92.1719,91.1094,91.9375,530600.0,91.0094,90.0531,31.0142,0.8889
1998-05-22,54.9671,91.2344,91.5938,90.9375,91.5938,219000.0,91.0969,90.14,11.1941,0.8261
1998-05-26,54.0163,89.6562,91.8438,89.6562,91.7344,561300.0,90.9219,90.21,90.3854,0.0526
1998-05-27,54.0163,89.6562,89.8594,87.9375,89.0,1041100.0,90.7406,90.2538,57.9226,1.9286
1998-05-28,54.2139,89.9844,90.0938,89.1875,89.75,367700.0,90.3812,90.2981,16.7519,2.8667
1998-05-29,53.5268,88.8438,90.4219,88.8438,90.2812,232400.0,89.875,90.3153,9.43,0.0978
1998-06-01,53.8656,89.4062,89.8594,88.5938,88.625,445800.0,89.5094,90.3388,89.2865,0.62
1998-06-02,53.5927,88.9531,89.875,88.7812,89.7344,391600.0,89.3688,90.3347,41.7148,0.4
1998-06-03,52.9243,87.8438,89.4062,87.8125,89.375,473100.0,89.0062,90.3219,31.8965,0.0408
1998-06-04,53.555,88.8906,88.9531,87.5312,87.875,636200.0,88.7875,90.3109,28.909,0.4
1998-06-05,54.7411,90.8594,90.8594,89.0,89.4688,1014000.0,89.1906,90.3506,30.9058,0.3371
1998-06-08,54.7788,90.9219,91.25,90.4844,90.75,467900.0,89.4938,90.3966,90.8854,3.4545
1998-06-09,54.6657,90.7344,91.0469,90.3594,90.8125,180100.0,89.85,90.4459,25.2122,7.8
1998-06-10,54.0727,89.75,91.125,89.5781,90.2812,531300.0,90.2312,90.4778,40.615,1.9118
1998-06-11,53.0937,88.125,90.1406,88.125,90.0312,529200.0,90.0781,90.4766,27.5044,0.0574
1998-06-12,53.3573,88.5625,88.625,86.875,88.1875,909200.0,89.6188,90.4691,30.5721,3.6667
1998-06-15,51.8135,86.0,87.9375,85.9531,87.5625,617400.0,88.6344,90.3859,86.6302,0.27
1998-06-16,52.2935,86.7969,86.9375,85.9375,86.8125,796500.0,87.8469,90.32,48.7608,63.0
1998-06-17,53.4138,88.6562,89.1719,87.5625,87.7812,895100.0,87.6281,90.2856,34.2935,0.8393
1998-06-18,53.2067,88.3125,88.7188,88.0938,88.4375,219000.0,87.6656,90.2541,7.6559,4.0
1998-06-19,52.5761,87.0781,88.5469,86.8594,88.4062,506100.0,87.3688,90.21,14.5945,0.2706
1998-06-22,52.6327,87.1719,87.7031,86.7969,87.1875,161500.0,87.6031,90.1459,87.224,57.0
1998-06-23,53.3591,88.375,88.4219,87.6562,87.6562,201600.0,87.9188,90.1066,48.9431,0.0652
1998-06-24,53.9157,89.2969,89.4375,87.8594,88.5,353100.0,88.0469,90.0638,43.8119,0.9804
1998-06-25,54.1516,89.6875,90.2969,89.1406,89.875,420200.0,88.3219,90.0172,33.1709,5.1667
1998-06-26,54.1516,89.6875,89.9375,89.3438,89.5938,150400.0,88.8438,89.9897,10.4789,5.3333
1998-06-29,54.4157,90.125,90.6562,90.0,90.1875,297700.0,89.4344,89.9581,90.2604,9.5
1998-06-30,54.1516,89.6875,90.1562,89.3594,89.9062,395600.0,89.6969,89.9259,51.2028,2.6429
1998-07-01,54.6988,90.5938,90.6719,89.8906,90.375,347100.0,89.9562,89.8997,30.1545,2.5714
1998-07-02,54.5195,90.2969,90.5781,90.1406,90.3438,263900.0,90.0781,89.8688,18.2783,8.3333
1998-07-06,55.095,91.25,91.25,90.0312,90.3125,166500.0,90.3906,89.8675,10.2838,0.3
1998-07-07,55.0101,91.1094,91.5625,90.7188,91.1719,155700.0,90.5875,89.8788,8.7236,12.5
1998-07-08,55.5195,91.9531,91.9844,91.1094,91.1875,146900.0,91.0406,89.9328,7.5945,0.1429
1998-07-09,54.8686,90.875,91.9062,90.4688,91.375,151500.0,91.0969,89.9706,7.1687,1.875
1998-07-10,55.0856,91.2344,91.4688,90.3438,91.0312,127800.0,91.2844,90.0069,5.6666,4.5385
1998-07-13,54.9346,90.9844,91.9219,90.7969,91.375,164400.0,91.2312,90.0091,91.2344,1.88
1998-07-14,55.812,92.4375,92.6719,91.4844,91.4844,276000.0,91.4969,90.0247,57.7807,0.2459
1998-07-15,55.8497,92.5,93.1562,92.2812,93.0,367900.0,91.6062,90.0384,42.168,0.75
1998-07-16,56.3121,93.2656,93.4062,92.0938,92.4375,356100.0,92.0844,90.0741,28.4176,0.5849
1998-07-17,56.3497,93.3281,93.625,93.0938,93.4375,222100.0,92.5031,90.135,14.9533,3.8571
1998-07-20,56.2271,93.125,93.5781,92.5781,93.5469,234900.0,92.9312,90.2028,93.0938,1.3704
1998-07-21,55.3969,91.75,93.5781,91.75,93.5781,389800.0,92.7938,90.2191,57.6304,0.0
1998-07-22,55.1894,91.4062,91.75,90.8281,91.5,229900.0,92.575,90.2288,24.5686,8.8333
1998-07-23,53.9535,89.3594,91.4375,89.2031,91.1719,297000.0,91.7938,90.1775,23.2112,0.2328
1998-07-24,54.0007,89.4375,90.0781,88.5312,90.0781,424800.0,91.0156,90.1212,24.0773,1.4146
1998-07-27,54.4912,90.25,90.3438,88.5312,88.9688,382900.0,90.4406,90.09,89.7083,0.4146
1998-07-28,53.8686,89.2188,90.0938,88.0156,90.0938,557300.0,89.9344,90.0584,52.8192,1.375
1998-07-29,53.7459,89.0156,90.0,88.8281,89.8125,330400.0,89.4562,90.0281,23.2162,0.4706
1998-07-30,54.4818,90.2344,90.375,89.5781,89.875,533300.0,89.6312,90.0216,26.6258,1.2174
1998-07-31,53.4535,88.5312,90.375,88.1562,90.125,234400.0,89.45,89.9566,10.2372,0.3922
1998-08-03,53.0195,87.8125,88.9219,87.7812,88.625,429300.0,88.9625,89.8853,88.1719,0.4038
1998-08-04,51.2836,84.9375,88.625,84.875,88.625,947200.0,88.1062,89.7594,59.2788,0.0169
1998-08-05,51.7176,85.6562,85.9219,83.5312,85.4375,1456000.0,87.4344,89.6794,43.7116,9.9286
1998-08-06,51.7176,85.6562,86.2344,84.9688,84.9688,571600.0,86.5188,89.5994,14.3769,0.8409
1998-08-07,52.0195,86.1562,87.2344,85.5,86.2812,698900.0,86.0438,89.5228,14.6997,12.875
1998-08-10,51.7931,85.7812,86.4062,85.1406,86.0,233900.0,85.6375,89.4616,85.776,4.7857
1998-08-11,50.944,84.375,84.8125,83.0625,84.25,1034100.0,85.525,89.3609,68.573,13.0
1998-08-12,51.7365,85.6875,85.7812,84.7188,85.2188,592000.0,85.5312,89.2956,27.1797,1.2667
1998-08-13,50.8874,84.2812,86.2188,84.2812,85.3438,651900.0,85.2562,89.2244,22.0407,0.8235
1998-08-14,50.9063,84.3125,85.6875,83.7812,85.625,731000.0,84.8875,89.1328,19.0687,0.4524
1998-08-17,51.7742,85.75,85.9688,83.6875,84.0938,948800.0,84.8812,89.0306,85.1354,0.3774
1998-08-18,52.7554,87.375,87.6719,86.0312,86.2188,566000.0,85.4812,88.9597,32.517,0.4189
1998-08-19,52.5101,86.9688,87.9062,86.7812,87.9062,324700.0,85.7375,88.8844,15.3954,0.2
1998-08-20,52.0761,86.25,87.125,86.1562,86.5938,536300.0,86.1312,88.8144,19.5284,1.8182
1998-08-21,51.7982,85.5938,85.5938,83.1875,85.125,1184400.0,86.3875,88.7638,28.2083,4.1333
1998-08-24,51.8171,85.625,86.3438,85.0,85.8125,292300.0,86.3625,88.705,85.6562,6.1667
1998-08-25,51.9873,85.9062,86.875,85.2812,86.4688,309400.0,86.0688,88.7031,44.2328,1.8333
1998-08-26,51.6753,85.3906,85.8125,84.5312,84.8438,653200.0,85.7531,88.675,44.3716,1.3429
1998-08-27,49.0466,81.0469,84.2188,80.8125,83.9375,1887300.0,84.7125,88.5228,49.2673,0.1784
1998-08-28,48.8859,80.7812,82.6094,80.125,82.0,1225000.0,83.75,88.3722,22.7687,1.0385
1998-08-31,45.3116,74.875,81.4062,74.875,81.2188,1284000.0,81.6,88.1281,77.0521,0.0296
1998-09-01,47.5242,78.5312,79.0938,73.875,76.2188,1760300.0,80.125,87.9553,44.6199,1.2568
1998-09-02,47.0704,77.7812,79.625,77.625,78.6562,551100.0,78.6031,87.7434,12.0085,1.2857
1998-09-03,46.6165,77.0312,77.625,75.75,76.3438,806800.0,77.8,87.4981,14.0757,1.7273
1998-09-04,46.5219,76.875,77.7812,74.9375,77.6875,578100.0,77.0188,87.2419,8.8835,2.5
1998-09-08,48.7723,80.5938,80.6562,78.3438,79.1875,1187900.0,78.1625,87.06,79.8646,0.6444
1998-09-09,47.4486,78.4062,80.4688,78.4062,80.0938,879200.0,78.1375,86.8256,33.641,0.2222
1998-09-10,45.8411,75.75,77.2188,75.0,76.4688,1292900.0,77.7312,86.5469,29.2402,2.087
1998-09-11,47.6377,78.7188,78.8125,75.0156,75.375,1086900.0,78.0688,86.3094,18.9462,0.1355
1998-09-14,48.0537,79.4062,80.3438,79.2188,79.4219,627700.0,78.575,86.0916,79.6562,71.0
1998-09-15,48.5833,80.2812,80.5,78.5938,78.625,418000.0,78.5125,85.8722,31.8953,0.1509
1998-09-16,49.0939,81.125,81.6875,79.5938,80.9375,495200.0,79.0562,85.6725,25.9674,10.1667
1998-09-17,47.6755,78.7812,79.4062,78.5,78.6562,681100.0,79.6625,85.4091,24.1836,6.25
1998-09-18,47.7605,78.8125,79.125,78.125,78.5625,309400.0,79.6812,85.1678,9.6176,3.0
1998-09-21,48.0256,79.25,79.5625,76.1562,76.2812,562200.0,79.65,84.9281,78.3229,0.1474
1998-09-22,47.7889,78.8594,80.0625,78.5156,80.0625,431900.0,79.3656,84.6856,34.386,0.2857
1998-09-23,49.6163,81.875,81.875,79.3906,79.9062,680200.0,79.5156,84.4744,32.926,0.2619
1998-09-24,48.338,79.7656,81.8594,79.2344,81.2656,568800.0,79.7125,84.2197,20.3589,0.75
1998-09-25,48.5559,80.125,80.9688,78.6562,78.9688,422200.0,79.975,83.9569,12.6593,1.0
1998-09-28,49.2566,81.2812,81.6406,80.375,80.9375,678800.0,80.3812,83.7159,81.099,2.6818
1998-09-29,48.8967,80.6875,81.5625,79.5938,81.4844,1089600.0,80.7469,83.4672,49.6707,1.4706
1998-09-30,47.3817,78.1875,80.4375,78.125,79.6875,673200.0,80.0094,83.1959,21.759,0.5417
1998-10-01,46.1887,76.2188,78.1562,75.75,77.0,1107600.0,79.3,82.8922,23.9384,2.08
1998-10-02,47.3628,78.1562,78.3125,75.0625,76.375,971800.0,78.9062,82.6681,16.5894,0.8246
1998-10-05,46.7947,77.2188,78.0,75.4375,77.3438,728800.0,78.0938,82.4238,76.8854,19.5
1998-10-06,46.7757,77.1875,78.8594,76.625,78.3125,806100.0,77.3938,82.1625,40.7316,0.9861
1998-10-07,46.8704,77.3438,78.5625,75.8594,77.5312,1280800.0,77.225,81.925,35.1417,13.4167
1998-10-08,46.8515,77.3125,77.75,74.4688,75.125,2218200.0,77.4438,81.6909,33.7145,0.5
1998-10-09,47.9878,79.1875,79.375,76.5625,78.0625,1196900.0,77.65,81.47,15.0554,1.5
1998-10-12,48.3476,79.7812,80.9688,79.5,80.5312,630700.0,78.1625,81.295,80.0833,0.9583
1998-10-13,47.9783,79.1719,80.1875,78.6875,80.0,288500.0,78.5594,81.1222,24.9045,0.8113
1998-10-14,48.2907,79.6875,80.6719,78.8438,79.0,939700.0,79.0281,81.0172,40.3068,1.6591
1998-10-15,50.8284,83.875,88.0,79.1875,79.5,1219200.0,80.3406,80.9816,33.1477,1.0143
1998-10-16,51.0178,84.1875,84.4219,83.25,83.9375,694800.0,81.3406,80.9522,15.4604,3.6875
1998-10-19,51.2828,84.625,85.25,83.8125,84.0,423800.0,82.3094,80.9216,84.5625,1.3
1998-10-20,51.4439,84.8906,86.5,84.4844,85.4844,959800.0,83.4531,80.9038,59.1666,2.3947
1998-10-21,51.548,85.0625,85.7969,84.625,85.4688,599800.0,84.5281,80.9175,25.7537,1.8846
1998-10-22,51.851,85.5625,85.6875,84.2031,85.0312,574800.0,84.8656,80.915,19.1325,1.7941
1998-10-23,51.0935,84.3125,85.1875,84.125,84.9375,463400.0,84.8906,80.9156,12.9655,0.7
1998-10-26,51.1314,84.375,85.4375,84.125,85.0,381100.0,84.8406,80.9169,84.6458,1.1
1998-10-27,50.7337,83.7188,85.4219,83.3906,85.2812,915900.0,84.6062,80.8762,59.4432,0.3
1998-10-28,50.5728,83.4531,84.375,83.1719,83.8594,355200.0,84.2844,80.7978,17.9872,1.9615
1998-10-29,51.7753,85.4375,85.4375,83.4688,83.9062,413600.0,84.2594,80.7672,16.9743,0.2857
1998-10-30,52.1351,86.0312,86.6094,85.5781,86.0938,678700.0,84.6031,80.7628,21.2854,15.5
1998-11-02,53.0062,87.4688,87.4688,86.2344,86.7812,598900.0,85.2219,80.8003,87.0573,0.7955
1998-11-03,52.7221,87.0,87.625,86.7031,87.1875,731200.0,85.8781,80.8278,47.8869,3.9167
1998-11-04,53.4701,88.2344,88.8438,87.0781,88.1875,706600.0,86.8344,80.8744,30.5482,36.6667
1998-11-05,54.2372,89.5,89.5,87.1406,87.2969,462600.0,87.6469,80.9566,16.4202,0.0709
1998-11-06,54.4644,89.875,89.9375,89.0,89.2031,400000.0,88.4156,81.1331,12.3622,0.3953
1998-11-09,53.9436,89.0156,89.9375,88.5156,89.8438,325700.0,88.725,81.2978,89.1562,0.717
1998-11-10,53.7068,88.625,89.4219,88.5,88.75,345400.0,89.05,81.5728,45.7286,6.375
1998-11-11,53.5459,88.3594,89.4844,87.9688,89.4375,365000.0,89.075,81.7694,31.2137,0.4058
1998-11-12,53.7068,88.625,89.2188,88.125,88.125,354400.0,88.9,81.9862,22.596,1.1875
1998-11-13,54.2372,89.5,89.75,88.4688,88.6562,408300.0,88.825,82.2356,20.256,0.5185
1998-11-16,54.7484,90.3438,90.4688,89.3906,90.1562,273700.0,89.0906,82.505,90.0677,4.75
1998-11-17,54.5212,89.9688,92.0,89.0312,89.9531,618700.0,89.3594,82.6925,62.628,189.0
1998-11-18,54.9473,90.6719,90.9688,89.75,89.875,249600.0,89.8219,82.9378,19.7721,0.5294
1998-11-19,54.9947,90.75,91.125,90.3125,90.9375,270800.0,90.2469,83.2378,17.3906,3.3333
