Date,Adj Close,Close,High,Low,Open,Volume,VWAP,Uncertainty
1989-10-04,1.94813072681427,2.5,2.546875,2.4375,2.46875,20636000.0,2.4947916666666665,2.5
1989-10-05,2.009009599685669,2.578125,2.625,2.5,2.515625,6453600.0,0.6117093829366252,1.0
1989-10-06,1.984658122062683,2.546875,2.625,2.546875,2.59375,2755200.0,0.23752546507264247,0.6666666666666666
1989-10-09,1.984658122062683,2.546875,2.546875,2.5,2.546875,1084000.0,2.53125,467.74999999999994
1989-10-10,1.9724828004837036,2.53125,2.5625,2.5,2.5625,1493600.0,1.4667423184357542,1.0
1989-10-11,1.9603049755096436,2.515625,2.515625,2.46875,2.5,1260000.0,0.8208255159474672,2.0
1989-10-12,1.9724828004837036,2.53125,2.546875,2.515625,2.515625,602400.0,0.34342905405405405,1.0
1989-10-13,1.935954213142395,2.484375,2.53125,2.46875,2.53125,3970400.0,1.1777466985319762,0.3333333333333333
1989-10-16,1.9237785339355469,2.46875,2.46875,2.375,2.375,3924800.0,2.4375,0.0
1989-10-17,1.94813072681427,2.5,2.5,2.4375,2.4375,1843200.0,0.7922330097087379,0.0
1989-10-18,1.984658122062683,2.546875,2.5625,2.484375,2.5,1128000.0,0.414044373549884,0.6666666666666666
1989-10-19,1.984658122062683,2.546875,2.546875,2.53125,2.53125,1040000.0,0.333081317204301,0.0
1989-10-20,1.9724828004837036,2.53125,2.53125,2.515625,2.53125,237600.0,0.07343000636194577,155.25
1989-10-23,1.984658122062683,2.546875,2.5625,2.546875,2.546875,87200.0,2.5520833333333335,155.25
1989-10-24,1.9968342781066895,2.5625,2.5625,2.53125,2.546875,689600.0,2.2655981805698593,1.0
1989-10-25,1.984658122062683,2.546875,2.578125,2.515625,2.546875,608000.0,1.118212016175621,623.9999999999999
1989-10-26,1.984658122062683,2.546875,2.5625,2.546875,2.546875,228800.0,0.3618720046273344,155.25
1989-10-27,1.9603049755096436,2.515625,2.546875,2.5,2.546875,456000.0,0.5554213374565133,0.5
1989-10-30,1.94813072681427,2.5,2.515625,2.5,2.515625,250400.0,2.5052083333333335,0.0
1989-10-31,1.94813072681427,2.5,2.515625,2.5,2.5,424800.0,1.576144105450237,155.25
1989-11-01,1.9968342781066895,2.5625,2.5625,2.515625,2.515625,715200.0,1.3100726409666283,0.0
1989-11-02,2.0577123165130615,2.640625,2.640625,2.59375,2.59375,130400.0,0.2250789058390321,0.0
1989-11-03,2.130768299102783,2.734375,2.75,2.625,2.625,1118400.0,1.1454891633828432,0.14285714285714285
1989-11-06,2.009009599685669,2.578125,2.71875,2.578125,2.71875,264800.0,2.625,0.0
1989-11-07,2.094240665435791,2.6875,2.6875,2.5,2.546875,727200.0,1.9242943548387097,0.3333333333333333
1989-11-08,2.1185925006866455,2.71875,2.71875,2.671875,2.6875,236800.0,0.5209147135416666,0.5
