Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty,Deviation
2010-04-23,10.1145,15.35,15.36,15.19,15.36,59800.0,15.3,14.3208,15.3,16.0012,1.0292
2010-04-26,10.0355,15.23,15.33,15.15,15.29,126900.0,15.296,14.3686,15.2367,2.0,0.949
2010-04-27,10.0223,15.21,15.28,15.1,15.21,56500.0,15.3,14.4046,4.6816,1798.9935,0.9037
2010-04-28,10.0223,15.21,15.29,15.0,15.23,84800.0,15.28,14.4424,4.7954,13.5004,0.8717
2010-04-29,10.0486,15.25,15.29,15.0,15.28,54100.0,15.25,14.4814,2.5481,8.6668,0.852
2010-04-30,9.9432,15.09,15.45,15.03,15.18,92800.0,15.198,14.5226,3.3959,3.6667,0.8116
2010-05-03,10.0025,15.18,15.2,14.96,15.09,72600.0,15.188,14.5616,15.1133,1.6667,0.7869
2010-05-04,9.7587,14.81,15.15,14.58,15.15,99800.0,15.108,14.596,8.5945,0.6765,0.7399
2010-05-05,9.6796,14.69,14.89,14.57,14.81,115000.0,15.004,14.6284,5.8887,1.6667,0.6979
2010-05-06,9.2909,14.1,14.99,13.6,14.65,94600.0,14.774,14.6494,3.524,1.5273,0.6845
2010-05-07,8.9087,13.52,14.0,13.41,14.0,153600.0,14.46,14.6558,3.9127,0.2292,0.7371
2010-05-10,8.9878,13.64,13.93,13.29,13.75,157700.0,14.152,14.66,13.62,4.8182,0.7646
2010-05-11,9.3041,14.12,14.25,13.49,13.53,60800.0,14.014,14.6774,3.8827,0.2881,0.7507
2010-05-12,9.3041,14.12,14.23,13.87,14.18,91900.0,13.9,14.6952,4.1667,5.0,0.7396
2010-05-13,9.0734,13.77,14.1,13.7,13.95,517000.0,13.834,14.7078,8.6583,1.2222,0.7544
2010-05-14,8.8823,13.48,13.83,13.41,13.71,81200.0,13.826,14.7124,1.213,0.8261,0.7928
2010-05-17,8.6385,13.11,13.57,13.01,13.56,108000.0,13.72,14.7126,13.23,0.2444,0.8617
2010-05-18,8.5068,12.91,13.32,12.81,13.32,311800.0,13.478,14.7012,9.6655,0.2439,0.9379
2010-05-19,8.5529,12.98,13.1,12.46,12.81,131400.0,13.25,14.6892,3.0625,2.7647,0.9935
2010-05-20,7.9335,12.04,12.82,12.03,12.82,81600.0,12.904,14.655,1.5857,0.0128,1.1312
2010-05-21,7.7885,11.82,11.99,11.67,11.93,137200.0,12.572,14.6116,2.1073,1.9091,1.2609
2010-05-24,7.4393,11.29,11.8,11.29,11.8,217500.0,12.208,14.5544,11.46,0.0,1.4149
2010-05-25,7.1494,10.85,11.12,10.57,11.12,190900.0,11.796,14.4716,5.0701,1.037,1.5764
2010-05-26,7.1691,10.88,10.95,10.74,10.9,148200.0,11.376,14.3826,2.8907,9.5003,1.7008
2010-05-27,7.2548,11.01,11.09,10.85,11.01,103200.0,11.17,14.2948,1.7179,2398.9977,1.7913
2010-05-28,7.2416,10.99,11.07,10.93,10.99,215600.0,11.004,14.2068,2.7083,1398.9939,1.8663
2010-06-01,7.0176,10.65,11.01,10.64,10.94,58500.0,10.876,14.1118,10.7667,0.2759,1.9489
2010-06-02,7.861,11.93,11.95,10.6,10.75,114600.0,11.092,14.0482,7.6091,0.1441,1.9552
2010-06-03,8.5463,12.97,13.0,11.81,11.81,50100.0,11.51,14.0046,2.8267,0.0259,1.9307
2010-06-04,8.1905,12.43,13.04,12.34,12.67,142100.0,11.794,13.9496,4.9026,1.9167,1.9185
2010-06-07,8.2366,12.5,12.73,12.3,12.53,76400.0,12.096,13.8992,12.51,13.3334,1.9039
2010-06-08,8.4145,12.77,12.83,12.3,12.5,48200.0,12.52,13.8596,4.8871,0.963,1.8838
2010-06-09,8.2959,12.59,13.15,12.49,12.82,68500.0,12.652,13.823,4.5206,1.8696,1.8674
2010-06-10,8.4606,12.84,12.98,12.54,12.66,62900.0,12.626,13.797,3.1417,1.4444,1.8471
2010-06-11,8.6451,13.12,13.15,12.71,12.77,59400.0,12.764,13.7792,2.4471,0.2571,1.8239
2010-06-14,8.8296,13.4,13.66,13.15,13.19,116300.0,12.944,13.7612,13.4033,1.4286,1.7994
2010-06-15,9.1261,13.85,13.99,13.34,13.43,225300.0,13.16,13.7502,9.0533,0.5476,1.775
2010-06-16,8.9219,13.54,13.89,13.5,13.78,65700.0,13.35,13.7252,2.2008,0.625,1.7517
2010-06-17,9.0075,13.67,13.78,13.42,13.66,39600.0,13.516,13.7006,1.2072,34.9991,1.7291
2010-06-18,9.0932,13.8,13.96,13.48,13.65,238300.0,13.652,13.669,4.7808,2.2,1.7075
2010-06-21,9.1657,13.91,14.41,13.82,13.9,96000.0,13.754,13.641,14.0467,57.9987,1.6871
2010-06-22,9.1064,13.82,14.16,13.76,14.03,56800.0,13.748,13.6126,5.172,0.9048,1.6672
2010-06-23,9.113,13.83,13.96,13.71,13.81,54100.0,13.806,13.5848,3.6171,11.5003,1.6481
2010-06-24,9.1393,13.87,14.21,13.74,13.75,79700.0,13.846,13.5576,3.8765,2.9167,1.6299
2010-06-25,9.9828,15.15,15.38,13.82,13.98,754200.0,14.116,13.5546,10.7125,0.3333,1.6292
2010-06-28,10.0223,15.21,15.33,15.0,15.03,139300.0,14.376,13.553,15.18,0.8333,1.6298
2010-06-29,9.818,14.9,15.35,14.8,14.99,86300.0,14.592,13.546,5.7444,5.1111,1.6244
2010-06-30,9.2316,14.01,14.91,13.97,14.91,98800.0,14.628,13.5224,4.3542,0.0444,1.6089
2010-07-01,9.4095,14.28,14.4,13.51,13.98,66700.0,14.71,13.5018,2.3984,1.9667,1.5963
2010-07-02,9.4029,14.27,14.4,14.07,14.36,33500.0,14.534,13.4792,1.124,2.6667,1.5842
2010-07-06,9.08,13.78,14.48,13.61,14.44,90000.0,14.248,13.4478,13.9567,0.3182,1.5782
2010-07-07,9.6138,14.59,14.6,13.8,13.88,113200.0,14.186,13.435,7.9831,0.1268,1.582
2010-07-08,9.8444,14.94,15.15,14.62,14.62,76500.0,14.372,13.4296,4.0762,0.6563,1.5923
2010-07-09,9.8905,15.01,15.01,14.75,14.9,38400.0,14.518,13.4256,1.8015,1.3636,1.6043
2010-07-12,9.6928,14.71,14.97,14.46,14.97,54200.0,14.606,13.4148,14.7133,0.9615,1.611
2010-07-13,9.7455,14.79,14.92,14.55,14.92,83300.0,14.808,13.4088,8.9378,1.8462,1.6209
