Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty,Deviation
1992-04-10,5.1827,9.0,9.125,8.75,9.125,106400.0,8.675,9.8962,8.9583,2.0,0.8962
1992-04-13,4.9667,8.625,8.875,8.625,8.75,521000.0,8.625,9.8462,8.7083,1.0,1.0711
1992-04-14,5.2546,9.125,9.125,8.625,8.75,428600.0,8.75,9.8125,4.0433,0.3333,0.9604
1992-04-15,5.2546,9.125,9.125,8.875,9.125,540600.0,8.925,9.7825,3.28,2499.0,0.8944
1992-04-16,5.1827,9.0,9.125,8.875,9.125,99800.0,8.975,9.7413,0.5649,1.0,0.8659
1992-04-20,5.0747,8.8125,9.125,8.75,8.875,167400.0,8.9375,9.695,0.8474,5.0,0.8687
1992-04-21,4.9667,8.625,9.0,8.625,8.75,181000.0,8.9375,9.645,0.817,2.0,0.8919
1992-04-22,4.9667,8.625,8.75,8.5,8.625,78200.0,8.8375,9.6075,0.3345,2499.0,0.9037
1992-04-23,5.0387,8.75,8.75,8.5,8.5,252600.0,8.7625,9.5625,0.9647,0.0,0.894
1992-04-24,4.7148,8.1875,8.75,8.1875,8.5,372800.0,8.6,9.5038,1.1818,0.8,0.9448
1992-04-27,4.6068,8.0,8.25,8.0,8.25,344200.0,8.4375,9.4512,8.0833,0.0,1.0015
1992-04-28,4.7508,8.25,8.25,7.9375,8.0,182400.0,8.3625,9.3988,2.8215,0.25,1.0146
1992-04-29,4.9667,8.625,8.75,8.125,8.25,337400.0,8.3625,9.3638,3.3193,0.6667,0.9961
1992-04-30,4.8227,8.375,8.75,8.375,8.5,818200.0,8.2875,9.3188,4.1343,2.0,0.9924
1992-05-01,4.8947,8.5,8.625,8.5,8.5,1881600.0,8.35,9.2788,4.5098,1249.0,0.9796
1992-05-04,4.8947,8.5,8.625,8.5,8.625,631400.0,8.45,9.2462,8.5417,0.0,0.9667
1992-05-05,4.8947,8.5,8.75,8.5,8.5625,276400.0,8.5,9.2062,2.6134,3.0,0.9533
1992-05-06,4.8947,8.5,8.75,8.5,8.625,706200.0,8.475,9.1675,3.7556,1.0,0.9397
1992-05-07,4.8947,8.5,8.625,8.25,8.5,578600.0,8.5,9.1312,2.232,3749.0,0.9261
1992-05-08,4.8587,8.4375,8.5,8.25,8.25,59400.0,8.4875,9.0938,0.2215,0.3333,0.9145
1992-05-11,4.9307,8.5625,8.625,8.375,8.5,689800.0,8.5,9.0525,8.5208,3.0,0.8988
1992-05-12,4.8947,8.5,8.625,8.375,8.5,483000.0,8.5,9.0075,3.5006,2499.0,0.8848
1992-05-13,4.8227,8.375,8.5,8.375,8.5,14800.0,8.475,8.96,0.1049,0.0,0.8739
1992-05-14,4.7508,8.25,8.5,8.25,8.5,449200.0,8.425,8.9212,2.287,0.0,0.8664
1992-05-15,4.7508,8.25,8.5,8.25,8.25,327200.0,8.3875,8.8962,1.3883,2499.0,0.8587
1992-05-18,4.7508,8.25,8.5,8.25,8.5,170600.0,8.325,8.8663,8.3333,0.0,0.8506
1992-05-19,4.6788,8.125,8.5,8.125,8.25,202200.0,8.25,8.8312,4.4747,2.0,0.8457
1992-05-20,4.6788,8.125,8.375,8.125,8.125,271600.0,8.2,8.8012,3.4596,2499.0,0.8403
1992-05-21,4.8227,8.375,8.375,8.125,8.375,127400.0,8.225,8.78,1.3687,2499.0,0.8291
1992-05-22,4.6788,8.125,8.375,8.125,8.125,97200.0,8.2,8.7575,0.9181,2499.0,0.8233
1992-05-26,4.6788,8.125,8.25,7.875,8.25,188200.0,8.175,8.735,8.0833,2.0,0.8173
1992-05-27,4.5348,7.875,8.125,7.875,8.125,117600.0,8.125,8.7062,3.0605,0.0,0.8177
1992-05-28,4.5348,7.875,8.125,7.875,8.125,330200.0,8.075,8.6762,4.1318,0.0,0.8172
1992-05-29,4.6068,8.0,8.125,7.75,8.0,162600.0,8.0,8.6538,1.6204,3749.0,0.8129
1992-06-01,4.6068,8.0,8.0,7.625,7.75,69400.0,7.975,8.6288,7.875,0.5,0.8082
1992-06-02,4.4628,7.75,8.0,7.625,7.75,49200.0,7.9,8.5988,3.2323,3749.0,0.8093
1992-06-03,4.6068,8.0,8.0,7.75,7.875,124800.0,7.925,8.5738,4.0592,1.0,0.8039
1992-06-04,4.6068,8.0,8.125,7.75,8.0,129800.0,7.95,8.5512,2.7679,3749.0,0.7983
1992-06-05,4.6068,8.0,8.125,7.875,8.0,176200.0,7.95,8.5262,2.5657,2499.0,0.7925
1992-06-08,4.5348,7.875,8.125,7.75,8.0,112200.0,7.925,8.49,7.9167,2.0,0.7885
1992-06-09,4.3189,7.5,7.875,7.5,7.875,325800.0,7.875,8.45,5.6717,0.0,0.7928
1992-06-10,4.3189,7.5,7.75,7.5,7.75,207800.0,7.775,8.4125,2.4401,0.0,0.7959
1992-06-11,4.3549,7.5625,7.625,7.5,7.625,111000.0,7.6875,8.3788,1.1092,1.0,0.7964
1992-06-12,4.3189,7.5,7.75,7.5,7.75,43800.0,7.5875,8.3412,0.4149,0.0,0.7974
1992-06-15,4.2469,7.375,7.75,7.125,7.75,534200.0,7.4875,8.3062,7.4167,0.6667,0.8006
1992-06-16,4.1029,7.125,7.5,7.125,7.375,194800.0,7.4125,8.2688,1.9373,0.5,0.8096
1992-06-17,4.1029,7.125,7.25,7.0,7.125,544600.0,7.3375,8.2338,3.0467,2499.0,0.8172
1992-06-18,3.959,6.875,7.125,6.75,7.125,656000.0,7.2,8.2012,2.3514,0.5,0.8309
1992-06-19,4.031,7.0,7.0,6.75,6.75,3014400.0,7.1,8.1762,4.2172,0.0,0.8394
1992-06-22,4.031,7.0,7.0,6.875,6.9375,424600.0,7.025,8.1412,6.9583,1.0,0.8465
1992-06-23,4.031,7.0,7.0,6.875,7.0,247200.0,7.0,8.1012,2.5604,1249.0,0.8513
1992-06-24,4.1029,7.125,7.25,6.875,6.9375,395200.0,7.0,8.0712,2.6236,1.0,0.8443
1992-06-25,4.031,7.0,7.25,7.0,7.125,320000.0,7.025,8.0288,1.6342,1.0,0.8512
1992-06-26,4.031,7.0,7.125,6.875,6.875,577000.0,7.025,7.9862,2.0565,1.0,0.8575
1992-06-29,4.0669,7.0625,7.125,7.0,7.125,197600.0,7.0375,7.9475,7.0625,1.0,0.8602
1992-06-30,4.1749,7.25,7.25,7.0,7.125,464800.0,7.0875,7.9162,5.0288,1.0,0.8563
1992-07-01,4.4628,7.75,8.0,7.25,7.25,611000.0,7.2125,7.8988,3.6786,0.5,0.8444
