Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty,Deviation
2016-12-14,12.9547,16.28,16.3,16.0,16.195,2399400.0,16.212,15.0166,16.1933,2.5294,1.2634
2016-12-15,13.1681,14.19,14.28,14.0,14.0,1151700.0,15.87,14.9904,4.5913,0.4737,1.0575
2016-12-16,13.0475,14.06,14.2,14.06,14.19,70800.0,15.402,14.9566,0.2758,0.0769,1.0068
2016-12-19,13.2052,14.23,14.23,13.96,14.1,1242500.0,14.998,14.9232,14.14,1.0769,0.9382
2016-12-20,13.3166,14.35,14.4,14.2,14.22,1128700.0,14.622,14.8902,6.8148,0.5385,0.8733
2016-12-21,13.3166,14.35,14.44,14.3,14.38,607400.0,14.236,14.8502,2.929,3.6667,0.8229
2016-12-22,13.2609,14.29,14.45,14.24,14.35,525600.0,14.256,14.809,2.1489,2.5,0.7867
2016-12-23,13.3491,14.385,14.4,14.22,14.25,35100.0,14.321,14.7747,0.1422,0.3333,0.7487
2016-12-27,13.9198,15.0,15.03,14.45,14.45,149200.0,14.475,14.7527,14.8267,0.0545,0.7107
2016-12-28,13.9198,15.0,15.25,14.95,15.01,121400.0,14.605,14.7307,6.7594,28.9993,0.6796
2016-12-29,14.3838,15.5,15.6,15.0,15.0,414800.0,14.835,14.7207,9.2998,0.2,0.6892
2016-12-30,14.3838,15.5,15.8,15.46,15.5,72200.0,15.077,14.7109,1.4854,3399.0015,0.6981
2017-01-03,14.2538,15.36,15.5,15.15,15.5,3188000.0,15.272,14.7001,15.3367,1.5,0.6952
2017-01-04,14.9406,16.1,16.1,15.36,15.36,869100.0,15.492,14.7081,3.3961,0.0,0.7663
2017-01-05,15.0241,16.19,16.4,16.0,16.14,743200.0,15.73,14.7183,2.5076,6.9998,0.8321
2017-01-06,15.0334,16.2,16.28,16.12,16.19,1096100.0,15.87,14.7307,3.0115,14.9996,0.8855
2017-01-09,14.755,15.9,16.3,15.9,16.195,655300.0,15.95,14.7397,16.0333,0.3559,0.904
2017-01-10,14.7086,15.85,15.95,15.84,15.91,169400.0,16.048,14.7527,3.2619,0.8333,0.9158
2017-01-11,14.5415,15.67,16.25,15.58,15.85,660000.0,15.962,14.7621,7.0385,2.7222,0.9154
2017-01-12,14.8478,16.0,16.0,15.69,15.74,278700.0,15.924,14.7781,2.5124,0.1923,0.9331
2017-01-13,15.2654,16.45,16.65,16.04,16.04,191300.0,15.974,14.8071,1.6031,0.4878,0.9786
2017-01-17,15.6365,16.85,16.89,16.4,16.58,903100.0,16.164,14.8721,16.7133,0.8148,1.045
2017-01-18,15.8221,17.05,17.1,16.77,16.85,1593400.0,16.404,14.9411,10.8333,0.65,1.1126
2017-01-19,15.6644,16.88,17.0,16.73,17.0,925000.0,16.646,14.9987,4.5608,1.25,1.1549
2017-01-20,15.7201,16.94,17.02,16.89,16.89,1252300.0,16.834,15.0555,4.5416,1.6,1.1927
2017-01-23,15.7293,16.95,17.05,16.77,16.95,1843200.0,16.934,15.1105,16.9233,2798.9878,1.2239
2017-01-24,15.5901,16.8,16.98,16.7,16.953,659400.0,16.924,15.1655,4.4336,0.8301,1.2415
2017-01-25,15.5438,16.75,16.89,16.5,16.77,510500.0,16.864,15.2159,2.8317,18.4995,1.2532
2017-01-26,15.6365,16.85,16.95,16.795,16.8,618200.0,16.858,15.2587,2.8711,2.0999,1.2663
2017-01-27,15.5252,16.73,16.9,16.67,16.9,479500.0,16.816,15.3053,1.9557,0.3529,1.2719
2017-01-30,15.1262,16.3,16.84,16.3,16.84,87900.0,16.686,15.3449,16.48,0.0,1.2629
2017-01-31,15.0426,16.21,16.5,16.05,16.4,266400.0,16.568,15.3871,12.221,1.3684,1.2515
2017-02-01,15.1726,16.35,16.41,16.29,16.4,751100.0,16.488,15.4331,11.1095,1.4,1.2427
2017-02-02,15.1169,16.29,16.39,16.23,16.39,49900.0,16.376,15.4769,0.7042,0.6,1.2322
2017-02-03,15.4974,16.7,16.7,16.2,16.3,526500.0,16.37,15.5309,5.1759,0.25,1.2305
2017-02-06,15.9149,17.15,17.81,17.07,17.15,521100.0,16.54,15.5929,17.3433,7398.9977,1.2407
2017-02-07,15.8871,17.12,17.3,17.09,17.3,787700.0,16.722,15.6553,10.3337,0.1667,1.2473
2017-02-08,16.0077,17.25,17.4,17.07,17.1,727800.0,16.902,15.7203,6.1609,1.2,1.2555
2017-02-09,16.0077,17.25,17.3,17.17,17.25,120100.0,17.094,15.7823,0.96,1298.9916,1.2614
2017-02-10,16.6573,17.95,17.95,17.0,17.3,1072200.0,17.344,15.8663,5.8554,0.4615,1.2884
2017-02-13,16.4717,17.75,17.9,17.5,17.85,506200.0,17.464,15.9423,17.7167,3.0,1.3035
2017-02-14,16.4253,17.7,17.77,17.67,17.75,543500.0,17.58,16.0171,9.1714,1.0,1.3138
2017-02-15,16.3789,17.65,17.75,17.65,17.72,283500.0,17.66,16.0931,3.7603,0.4286,1.32
2017-02-16,16.1469,17.4,17.7,17.4,17.7,267100.0,17.69,16.1521,2.9209,0.0,1.3184
2017-02-17,16.1005,17.35,17.4,17.15,17.4,180000.0,17.57,16.1871,1.7491,4.0001,1.3151
2017-02-21,15.8964,17.13,17.35,17.1,17.35,1330900.0,17.446,16.2197,17.1933,0.1364,1.3077
2017-02-22,15.5762,16.785,17.25,16.6,17.15,626800.0,17.263,16.2374,5.404,0.7808,1.2961
2017-02-23,15.1262,16.3,16.74,16.1,16.73,906900.0,16.993,16.2354,5.1857,0.4884,1.2826
2017-02-24,15.4231,16.62,16.62,16.18,16.29,555100.0,16.837,16.2428,2.674,0.3333,1.2706
2017-02-27,15.0055,16.17,16.6,16.05,16.59,1063000.0,16.601,16.2416,16.2733,0.3095,1.2579
2017-02-28,14.9962,16.16,16.24,16.12,16.24,82700.0,16.407,16.2392,1.1674,0.5,1.2452
2017-03-01,15.1262,16.3,16.6,16.16,16.16,151000.0,16.31,16.2814,1.9043,2.1429,1.24
2017-03-02,15.0334,16.2,16.56,16.2,16.35,201600.0,16.29,16.3242,2.1959,1.4,1.2336
2017-03-03,15.089,16.26,16.3,16.18,16.18,550900.0,16.218,16.3648,4.3677,0.5,1.2298
2017-03-06,15.0055,16.17,16.3,16.0,16.3,1063000.0,16.218,16.4012,16.1567,1.3077,1.2279
2017-03-07,14.9406,16.1,16.24,16.06,16.17,90800.0,16.206,16.4362,1.2696,1.5714,1.2268
2017-03-08,14.7086,15.85,16.1,15.8,16.1,481700.0,16.116,16.4674,4.6879,0.2,1.2277
2017-03-09,14.3002,15.41,15.81,15.34,15.81,542700.0,15.958,16.4879,3.8668,0.175,1.2359
2017-03-10,14.5601,15.69,15.8,15.35,15.35,830900.0,15.844,16.5017,4.3113,0.3235,1.2407
2017-03-13,15.0519,16.22,16.4,15.75,15.75,300600.0,15.854,16.5261,16.1233,0.383,1.2409
2017-03-14,15.0055,16.17,16.22,16.05,16.2,331300.0,15.868,16.5395,8.4656,4.6665,1.2371
2017-03-15,14.9777,16.14,16.25,16.05,16.215,490300.0,15.926,16.5523,7.0546,1.6666,1.2334
2017-03-16,14.987,16.15,16.25,16.15,16.15,248000.0,16.074,16.5681,2.9291,999.0038,1.2313
2017-03-17,14.922,16.08,16.2,16.0,16.17,1420300.0,16.152,16.5677,8.1911,1.2222,1.2174
2017-03-20,15.0334,16.2,16.22,16.08,16.09,167100.0,16.148,16.5679,16.1667,0.2727,1.2006
2017-03-21,14.8478,16.0,16.24,15.95,16.24,891800.0,16.114,16.5639,13.5285,0.2083,1.1852
2017-03-22,14.7086,15.85,16.0,15.8,16.0,506800.0,16.056,16.5629,5.1413,0.3333,1.1781
2017-03-23,14.5972,15.73,16.0,15.73,15.97,514100.0,15.972,16.5605,3.9105,0.125,1.1737
2017-03-24,14.6622,15.8,16.0,15.735,15.75,548800.0,15.916,16.5631,3.3081,4.3,1.1717
2017-03-27,14.7086,15.85,15.87,15.77,15.78,859600.0,15.846,16.5601,15.83,0.4286,1.1632
2017-03-28,14.755,15.9,15.96,15.84,15.84,2530900.0,15.826,16.5491,11.8688,1.0,1.1434
2017-03-29,15.0798,16.25,16.26,15.91,15.91,2384200.0,15.906,16.5371,6.6637,0.0294,1.1094
2017-03-30,15.1076,16.28,16.6,15.99,16.55,3010900.0,16.016,16.5217,5.5827,1.2593,1.0691
2017-03-31,15.1262,16.3,16.48,16.0,16.28,1458000.0,16.116,16.5101,2.3143,23.0017,1.0359
2017-04-03,15.1726,16.35,16.5,16.0,16.49,720000.0,16.216,16.4983,16.2833,2.5714,1.0013
2017-04-04,15.3025,16.49,16.49,16.31,16.31,924200.0,16.334,16.4891,9.2353,0.0,0.9669
2017-04-05,15.2932,16.48,16.53,16.42,16.46,120500.0,16.38,16.4827,1.1251,4.4999,0.9389
2017-04-06,15.2282,16.41,16.5,16.38,16.5,66000.0,16.406,16.4759,0.5923,0.3333,0.9135
2017-04-07,15.0798,16.25,16.46,16.07,16.4,135000.0,16.396,16.4639,1.1167,1.6,0.8859
2017-04-10,15.0798,16.25,16.3,16.23,16.29,154400.0,16.376,16.4543,16.26,0.75,0.8631
2017-04-11,14.987,16.15,16.25,16.071,16.24,78100.0,16.308,16.4513,5.4274,0.9889,0.8536
2017-04-12,14.8478,16.0,16.12,15.98,16.12,221300.0,16.212,16.4471,7.8188,0.1667,0.848
2017-04-13,15.0055,16.17,16.21,16.0,16.0,367800.0,16.164,16.4435,7.2193,0.2353,0.8389
2017-04-17,14.8292,15.98,16.22,15.9,16.185,1134100.0,16.11,16.4373,9.2976,0.561,0.8335
2017-04-18,14.8478,16.0,16.03,15.88,15.98,582200.0,16.06,16.4233,3.6636,6.4999,0.8191
2017-04-19,14.6622,15.8,16.01,15.7,16.0,752600.0,15.99,16.3963,3.6221,0.55,0.7934
2017-04-20,14.4302,15.55,15.86,15.55,15.8,402100.0,15.9,16.3649,1.7045,0.24,0.7745
2017-04-21,14.1054,15.2,15.55,14.97,15.55,1135000.0,15.706,16.3239,3.583,0.6571,0.7605
2017-04-24,14.3652,15.48,15.6,15.16,15.191,344200.0,15.606,16.2885,15.4133,0.5225,0.7405
2017-04-25,14.3374,15.45,15.55,15.35,15.53,614400.0,15.496,16.2385,9.9024,1.5,0.6884
2017-04-26,14.5044,15.63,15.65,15.4,15.425,640600.0,15.462,16.1961,6.233,0.2195,0.6442
2017-04-27,14.1239,15.22,15.65,15.2,15.63,536500.0,15.396,16.1465,3.8577,0.0976,0.6128
2017-04-28,13.8734,14.95,15.33,14.95,15.318,629000.0,15.346,16.0925,3.4301,0.0326,0.5943
2017-05-01,13.9012,14.98,15.05,14.93,15.0,530300.0,15.246,16.0441,14.9867,4.9999,0.5871
2017-05-02,13.5393,14.59,15.02,14.5,15.0,735100.0,15.074,15.9889,8.5415,0.2683,0.5973
2017-05-03,13.6321,14.69,14.935,14.59,14.59,770400.0,14.886,15.9401,5.5774,2.45,0.6095
2017-05-04,13.5671,14.62,14.8,14.61,14.715,692200.0,14.766,15.8968,3.724,1.0,0.6309
2017-05-05,13.9476,15.03,15.24,14.71,14.71,1424300.0,14.782,15.8714,5.1429,0.6563,0.642
2017-05-08,13.9198,15.0,15.05,14.97,15.03,2124100.0,14.786,15.839,15.0067,1.6667,0.6507
2017-05-09,13.9291,15.01,15.02,14.97,15.0,2346700.0,14.87,15.8158,7.8734,3.9999,0.6605
2017-05-10,14.059,15.15,15.3,14.98,15.15,2299800.0,14.962,15.7956,5.1438,3199.0065,0.6667
2017-05-11,14.2167,15.32,15.35,15.0,15.1,3080400.0,15.102,15.776,4.7603,0.5909,0.6698
2017-05-12,14.458,15.58,15.83,15.33,15.35,972700.0,15.212,15.7636,1.4001,1.1739,0.67
2017-05-15,14.5972,15.73,15.77,15.5,15.54,692600.0,15.358,15.753,15.6667,0.4211,0.6699
2017-05-16,14.3095,15.42,16.0,15.39,15.77,1235800.0,15.44,15.738,9.9993,0.7429,0.6706
2017-05-17,14.0033,15.09,15.67,15.03,15.47,1080900.0,15.428,15.7178,5.4824,0.6842,0.6748
