Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty
1970-01-02,0.179,1.9375,1.9375,1.9258,1.9297,1174400.0,1.9305,1.9838,1.9336,0.5001
1970-01-05,0.1819,1.9688,1.9688,1.9336,1.9375,1881600.0,1.9359,1.9806,1.957,0.125
1970-01-06,0.1815,1.9648,1.9727,1.9453,1.9688,1232000.0,1.9445,1.9779,0.7759,6.0002
1970-01-07,0.1805,1.9531,1.9648,1.9492,1.9648,918400.0,1.9508,1.9753,0.4455,0.3333
1970-01-08,0.1808,1.957,1.9688,1.9453,1.9531,1075200.0,1.9562,1.9728,0.412,5.0002
1970-01-09,0.1815,1.9648,1.9648,1.9492,1.957,1072000.0,1.9617,1.9702,0.34,0.9999
1970-01-12,0.1801,1.9492,1.9688,1.9492,1.9648,892800.0,1.9578,1.9679,1.9557,0.25
1970-01-13,0.1794,1.9414,1.9609,1.9414,1.9492,1248000.0,1.9531,1.9659,1.1356,1.4999
1970-01-14,0.1797,1.9453,1.9453,1.9336,1.9414,1328000.0,1.9516,1.963,0.7433,1.9995
1970-01-15,0.1779,1.9258,1.9453,1.9219,1.9453,1206400.0,1.9453,1.9597,0.4983,0.2
1970-01-16,0.1786,1.9336,1.9375,1.9258,1.9258,1100800.0,1.9391,1.9562,0.3683,0.4999
1970-01-19,0.1786,1.9336,1.9375,1.9219,1.9336,700800.0,1.9359,1.9532,1.931,155.25
1970-01-20,0.1779,1.9258,1.9453,1.9258,1.9336,1241600.0,1.9328,1.9506,1.2351,1.4999
1970-01-21,0.1776,1.9219,1.9375,1.9219,1.9258,841600.0,1.9281,1.9482,0.5826,3.0002
1970-01-22,0.1765,1.9102,1.9258,1.9062,1.9219,1382400.0,1.925,1.9457,0.6351,0.6666
1970-01-23,0.174,1.8828,1.9102,1.8789,1.9102,1878400.0,1.9148,1.943,0.5875,0.1429
1970-01-26,0.1743,1.8867,1.8906,1.875,1.8828,1043200.0,1.9055,1.9402,1.8841,3.0002
1970-01-27,0.1732,1.875,1.8789,1.8594,1.8789,2054400.0,1.8953,1.9373,1.241,4.0002
1970-01-28,0.1678,1.8164,1.875,1.8125,1.875,1488000.0,1.8742,1.9333,0.5953,0.0667
1970-01-29,0.1642,1.7773,1.8008,1.7773,1.8008,1548800.0,1.8477,1.9285,0.4507,0.0
1970-01-30,0.1628,1.7617,1.7734,1.75,1.7734,2172800.0,1.8234,1.9235,0.4608,1.0
1970-02-02,0.1617,1.75,1.7617,1.75,1.7617,2755200.0,1.7961,1.9186,1.7539,0.0
1970-02-03,0.1649,1.7852,1.7969,1.7422,1.75,2572800.0,1.7781,1.9152,0.857,0.5556
1970-02-04,0.1646,1.7812,1.7891,1.7734,1.7852,2003200.0,1.7711,1.9117,0.4867,3.0002
1970-02-05,0.1642,1.7773,1.7812,1.7734,1.7812,1676800.0,1.7711,1.9086,0.3308,1.0
1970-02-06,0.1602,1.7344,1.7539,1.7305,1.7539,1635200.0,1.7656,1.9052,0.2673,0.2
1970-02-09,0.1595,1.7266,1.7422,1.7227,1.7344,1398400.0,1.7609,1.9011,1.7305,1.5002
1970-02-10,0.1537,1.6641,1.7188,1.6484,1.7188,2777600.0,1.7367,1.8955,1.1155,0.2857
1970-02-11,0.1548,1.6758,1.6758,1.6406,1.6641,2316800.0,1.7156,1.8909,0.5938,2.0002
1970-02-12,0.1509,1.6328,1.6719,1.6094,1.6719,2611200.0,1.6867,1.8852,0.4698,0.6
1970-02-13,0.1501,1.625,1.6367,1.6094,1.6328,2380800.0,1.6648,1.8798,0.3366,2.4998
1970-02-16,0.1454,1.5742,1.5859,1.5664,1.5859,3497600.0,1.6344,1.8728,1.5755,0.6667
1970-02-17,0.1447,1.5664,1.5742,1.5586,1.5742,3078400.0,1.6148,1.8652,0.7333,0.9999
1970-02-18,0.1527,1.6523,1.6641,1.5859,1.5859,4438400.0,1.6102,1.8599,0.6585,0.1765
1970-02-19,0.1548,1.6758,1.707,1.6758,1.6758,3376000.0,1.6188,1.8548,0.3956,311.5
1970-02-20,0.1592,1.7227,1.7266,1.6562,1.6758,4480000.0,1.6383,1.8502,0.404,0.5
1970-02-24,0.1584,1.7148,1.7734,1.7109,1.7227,3750400.0,1.6664,1.8455,1.7331,7.0005
1970-02-25,0.161,1.7422,1.7461,1.6562,1.7148,4771200.0,1.7016,1.8414,0.9601,2.2857
1970-02-26,0.1563,1.6914,1.7266,1.6836,1.7266,3705600.0,1.7094,1.8363,0.5154,0.2222
1970-02-27,0.1559,1.6875,1.7148,1.6875,1.6914,4137600.0,1.7117,1.8316,0.429,6.0005
1970-03-02,0.1545,1.6719,1.7148,1.6719,1.6875,5107200.0,1.7016,1.8269,1.6862,1.75
1970-03-03,0.1537,1.6641,1.6797,1.6523,1.6719,5152000.0,1.6914,1.8218,0.8363,2.5002
1970-03-04,0.1545,1.6719,1.6797,1.6641,1.6641,4838400.0,1.6773,1.8165,0.5358,1.0001
1970-03-05,0.1559,1.6875,1.6992,1.6719,1.6719,4912000.0,1.6766,1.8117,0.4139,0.75
1970-03-06,0.1545,1.6719,1.6797,1.6602,1.6797,4780800.0,1.6734,1.8067,0.3222,1.4999
1970-03-09,0.1527,1.6523,1.668,1.6523,1.668,7699200.0,1.6695,1.8009,1.6576,0.0
1970-03-10,0.1556,1.6836,1.6914,1.6406,1.6523,5878400.0,1.6734,1.7958,0.7238,0.625
1970-03-11,0.1584,1.7148,1.7188,1.6992,1.6992,3638400.0,1.682,1.7916,0.3616,0.25
1970-03-12,0.1577,1.707,1.7148,1.6875,1.7148,2841600.0,1.6859,1.7873,0.2413,2.4998
1970-03-13,0.1577,1.707,1.707,1.6914,1.707,2582400.0,1.693,1.7829,0.1941,155.25
1970-03-16,0.1574,1.7031,1.707,1.6797,1.707,2028800.0,1.7031,1.7782,1.6966,6.0002
1970-03-17,0.1574,1.7031,1.707,1.6875,1.7031,1520000.0,1.707,1.7729,0.7278,194.3101
1970-03-18,0.1588,1.7188,1.7422,1.7031,1.7031,1958400.0,1.7078,1.768,0.6121,1.5
1970-03-19,0.1588,1.7188,1.7344,1.7148,1.7188,1904000.0,1.7102,1.7633,0.4426,194.3101
1970-03-20,0.1595,1.7266,1.7266,1.7109,1.7188,1257600.0,1.7141,1.7587,0.2497,0.9999
1970-03-23,0.1592,1.7227,1.7305,1.7109,1.7266,931200.0,1.718,1.7538,1.7214,3.999
1970-03-24,0.1617,1.75,1.7539,1.7266,1.7266,950400.0,1.7273,1.7498,0.8806,0.1667
1970-03-25,0.1653,1.7891,1.7969,1.7539,1.7539,2720000.0,1.7414,1.7468,1.0521,0.2222
