Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty,Deviation
1981-02-24,0.0831,0.106,0.1071,0.106,0.1071,16979200.0,0.1121,0.1326,0.1064,0.0,0.0266
1981-02-25,0.0884,0.1127,0.1133,0.1127,0.1127,19488000.0,0.1103,0.1323,0.0603,4.58,0.0233
1981-02-26,0.0897,0.1144,0.115,0.1144,0.1144,10841600.0,0.1103,0.1321,0.0263,4.58,0.0216
1981-02-27,0.0927,0.1183,0.1194,0.1183,0.1183,14761600.0,0.1123,0.1322,0.0282,10.16,0.02
1981-03-02,0.0932,0.1189,0.1194,0.1189,0.1189,11760000.0,0.1141,0.1323,0.119,4.58,0.0188
1981-03-03,0.0919,0.1172,0.1177,0.1172,0.1177,16172800.0,0.1163,0.1323,0.068,0.0,0.0183
1981-03-04,0.091,0.1161,0.1166,0.1161,0.1166,13708800.0,0.117,0.1321,0.0383,0.0,0.018
1981-03-05,0.0905,0.1155,0.1161,0.1155,0.1161,5376000.0,0.1172,0.1317,0.0132,0.0,0.0178
1981-03-06,0.0897,0.1144,0.1155,0.1144,0.1155,11603200.0,0.1164,0.1313,0.0227,0.0,0.0177
1981-03-09,0.0827,0.1055,0.106,0.1055,0.106,15321600.0,0.1137,0.1305,0.1057,0.0,0.0185
1981-03-10,0.0787,0.1004,0.101,0.1004,0.101,28380800.0,0.1104,0.1293,0.0654,0.0,0.0197
1981-03-11,0.0757,0.0965,0.0977,0.0965,0.0977,29859200.0,0.1065,0.128,0.0393,0.0,0.0209
1981-03-12,0.0787,0.1004,0.101,0.1004,0.1004,59248000.0,0.1035,0.1269,0.0449,4.58,0.0214
1981-03-13,0.0779,0.0993,0.0999,0.0993,0.0999,231302400.0,0.1004,0.1258,0.0632,0.0,0.0218
1981-03-16,0.0809,0.1032,0.1044,0.1032,0.1032,37228800.0,0.1,0.1248,0.1036,10.16,0.0218
1981-03-17,0.0849,0.1083,0.1094,0.1083,0.1083,43747200.0,0.1016,0.124,0.0587,10.16,0.0215
1981-03-18,0.0901,0.115,0.1161,0.115,0.115,36937600.0,0.1052,0.1234,0.0361,10.16,0.0209
1981-03-19,0.0892,0.1138,0.1144,0.1138,0.1144,37811200.0,0.1079,0.1229,0.0277,0.0,0.0204
1981-03-20,0.0901,0.115,0.1161,0.115,0.115,14604800.0,0.111,0.1225,0.0099,10.16,0.02
1981-03-23,0.0936,0.1194,0.1205,0.1194,0.1194,22019200.0,0.1143,0.1221,0.1198,10.16,0.0195
1981-03-24,0.0932,0.1189,0.1194,0.1189,0.1194,28156800.0,0.1164,0.1216,0.0668,0.0,0.019
1981-03-25,0.0914,0.1166,0.1177,0.1166,0.1177,7056000.0,0.1167,0.1212,0.0144,0.0,0.0186
1981-03-26,0.0897,0.1144,0.115,0.1144,0.115,12275200.0,0.1169,0.1208,0.0202,0.0,0.0182
1981-03-27,0.0866,0.1105,0.111,0.1105,0.111,12252800.0,0.116,0.1202,0.0166,0.0,0.018
1981-03-30,0.0866,0.1105,0.1116,0.1105,0.1105,9900800.0,0.1142,0.1196,0.1109,10.16,0.0177
1981-03-31,0.0857,0.1094,0.1105,0.1094,0.1105,15993600.0,0.1123,0.1189,0.0678,0.0,0.0175
1981-04-01,0.0849,0.1083,0.1088,0.1083,0.1088,34070400.0,0.1106,0.1182,0.0616,0.0,0.0172
1981-04-02,0.0923,0.1177,0.1183,0.1177,0.1177,31404800.0,0.1113,0.1177,0.0405,4.58,0.0169
1981-04-03,0.0927,0.1183,0.1189,0.1183,0.1183,16486400.0,0.1128,0.1171,0.0181,4.58,0.0166
1981-04-06,0.091,0.1161,0.1166,0.1161,0.1166,22803200.0,0.114,0.1165,0.1163,0.0,0.0164
1981-04-07,0.0901,0.115,0.1155,0.115,0.1155,10684800.0,0.1151,0.1159,0.0367,0.0,0.0161
1981-04-08,0.0945,0.1205,0.1217,0.1205,0.1205,21952000.0,0.1175,0.1155,0.0479,10.16,0.0159
1981-04-09,0.0962,0.1228,0.1233,0.1228,0.1228,12499200.0,0.1185,0.1151,0.0226,4.58,0.0157
1981-04-10,0.0975,0.1244,0.125,0.1244,0.1244,33465600.0,0.1198,0.115,0.0411,4.58,0.0155
1981-04-13,0.0975,0.1244,0.125,0.1244,0.1244,16060800.0,0.1214,0.1149,0.1246,4.58,0.0154
1981-04-14,0.0975,0.1244,0.125,0.1244,0.1244,6652800.0,0.1233,0.115,0.0365,4.58,0.0153
1981-04-15,0.0927,0.1183,0.1189,0.1183,0.1189,34048000.0,0.1229,0.1149,0.0711,0.0,0.0151
1981-04-16,0.0875,0.1116,0.1122,0.1116,0.1122,23878400.0,0.1206,0.1146,0.0331,0.0,0.0149
1981-04-20,0.0901,0.115,0.1155,0.115,0.115,35347200.0,0.1188,0.1144,0.0351,4.58,0.0147
1981-04-21,0.0962,0.1228,0.1233,0.1228,0.1228,28537600.0,0.1184,0.1143,0.0243,4.58,0.0146
1981-04-22,0.0997,0.1272,0.1278,0.1272,0.1272,18995200.0,0.119,0.1144,0.0148,4.58,0.0145
1981-04-23,0.1023,0.1306,0.1311,0.1306,0.1306,58016000.0,0.1214,0.1145,0.0342,4.58,0.0146
1981-04-24,0.1015,0.1295,0.1306,0.1295,0.1306,35056000.0,0.125,0.1148,0.0177,0.0,0.0146
1981-04-27,0.1006,0.1283,0.1289,0.1283,0.1289,38528000.0,0.1277,0.115,0.1285,0.0,0.0145
1981-04-28,0.0989,0.1261,0.1267,0.1261,0.1267,32188800.0,0.1283,0.1153,0.0575,0.0,0.0145
1981-04-29,0.0975,0.1244,0.125,0.1244,0.125,13641600.0,0.1278,0.1154,0.0202,0.0,0.0144
1981-04-30,0.0993,0.1267,0.1278,0.1267,0.1267,12611200.0,0.127,0.1155,0.0165,10.1601,0.0143
1981-05-01,0.0993,0.1267,0.1278,0.1267,0.1267,16553600.0,0.1265,0.1158,0.0185,10.1601,0.0142
1981-05-04,0.0989,0.1261,0.1267,0.1261,0.1267,14448000.0,0.126,0.1161,0.1263,0.0,0.0142
1981-05-05,0.0984,0.1256,0.1261,0.1256,0.1261,17539200.0,0.1259,0.1164,0.0689,0.0,0.0141
1981-05-06,0.0958,0.1222,0.1228,0.1222,0.1228,18950400.0,0.1254,0.1168,0.0455,0.0,0.0136
1981-05-07,0.0971,0.1239,0.1244,0.1239,0.1239,9363200.0,0.1249,0.117,0.0193,4.58,0.0133
1981-05-08,0.098,0.125,0.1256,0.125,0.125,7907200.0,0.1246,0.1172,0.0145,4.58,0.0132
1981-05-11,0.0958,0.1222,0.1228,0.1222,0.1228,11939200.0,0.1238,0.1173,0.1224,0.0,0.013
1981-05-12,0.0958,0.1222,0.1239,0.1222,0.1222,4256000.0,0.1231,0.1173,0.0323,15.74,0.0129
1981-05-13,0.0954,0.1217,0.1233,0.1217,0.1222,4905600.0,0.123,0.1174,0.0284,2.0,0.0127
1981-05-14,0.094,0.12,0.1211,0.12,0.1211,4928000.0,0.1222,0.1175,0.0228,0.0,0.0125
1981-05-15,0.0962,0.1228,0.1244,0.1228,0.1228,4905600.0,0.1218,0.1176,0.0196,15.74,0.0124
1981-05-18,0.098,0.125,0.1261,0.125,0.125,4166400.0,0.1223,0.1179,0.1254,10.1599,0.0122
1981-05-19,0.0962,0.1228,0.1233,0.1228,0.1233,25424000.0,0.1224,0.1182,0.1056,0.0,0.0117
1981-05-20,0.0993,0.1267,0.1278,0.1267,0.1267,13283200.0,0.1234,0.1187,0.0394,10.1601,0.011
1981-05-21,0.105,0.1339,0.1345,0.1339,0.1339,32211200.0,0.1262,0.1195,0.0575,4.58,0.0102
1981-05-22,0.1098,0.1401,0.1412,0.1401,0.1401,31427200.0,0.1297,0.1203,0.0414,10.1601,0.0099
1981-05-26,0.1093,0.1395,0.1401,0.1395,0.1401,85344000.0,0.1326,0.1211,0.1397,0.0,0.0096
1981-05-27,0.1155,0.1473,0.1479,0.1473,0.1473,149497600.0,0.1375,0.122,0.0939,4.58,0.0097
1981-05-28,0.1155,0.1473,0.1479,0.1473,0.1473,73987200.0,0.1416,0.1227,0.0353,4.58,0.0101
1981-05-29,0.1159,0.1479,0.1484,0.1479,0.1479,59382400.0,0.1444,0.1234,0.0239,4.59,0.0106
1981-06-01,0.1159,0.1479,0.1484,0.1479,0.1479,51251200.0,0.146,0.1241,0.1481,4.59,0.0111
