Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty,Deviation
1983-01-03,2.6544,3.2188,3.4062,3.2188,3.4062,157200.0,3.3688,2.8244,3.2812,0.0,0.3944
1983-01-04,2.6801,3.25,3.375,3.2188,3.2188,165600.0,3.3125,2.8475,1.6833,4.0,0.3984
1983-01-05,2.7574,3.3438,3.4062,3.25,3.25,353600.0,3.2812,2.8706,1.7426,0.6667,0.4248
1983-01-06,2.6801,3.25,3.4062,3.25,3.3438,254400.0,3.275,2.8906,0.9025,0.6667,0.4094
1983-01-07,2.6801,3.25,3.3438,3.25,3.25,406800.0,3.2625,2.9088,0.9979,936.5,0.3967
1983-01-10,2.6801,3.25,3.2812,3.2188,3.25,178000.0,3.2688,2.9238,3.25,624.0,0.3859
1983-01-11,2.6286,3.1875,3.3125,3.0938,3.25,392800.0,3.2562,2.9381,2.2007,2.5,0.3695
1983-01-12,2.474,3.0,3.125,2.75,3.125,678800.0,3.1875,2.9525,1.607,2.0,0.346
1983-01-13,2.5513,3.0938,3.1875,2.9688,3.0,234800.0,3.1562,2.9675,0.4877,1.3333,0.3289
1983-01-14,2.5513,3.0938,3.1875,3.0,3.0938,177600.0,3.125,2.9806,0.3306,1874.0,0.3141
1983-01-17,2.577,3.125,3.2188,3.125,3.125,203200.0,3.1,2.9944,3.1562,936.5,0.3021
1983-01-18,2.5513,3.0938,3.125,3.0,3.125,290000.0,3.0812,3.0062,1.8069,3.0,0.2903
1983-01-19,2.4997,3.0312,3.0938,3.0,3.0938,90800.0,3.0875,3.0181,0.4729,0.5,0.2789
1983-01-20,2.3451,2.8438,3.0625,2.8438,3.0312,488400.0,3.0375,3.0269,1.3283,0.1667,0.2732
1983-01-21,2.2163,2.6875,2.9688,2.5938,2.8438,337600.0,2.9562,3.0306,0.6584,1.4,0.2784
1983-01-24,2.3966,2.9062,2.9062,2.5938,2.6875,305600.0,2.9125,3.0381,2.8021,0.4286,0.2716
1983-01-25,2.5255,3.0625,3.0625,2.9375,2.9375,274400.0,2.9062,3.0494,1.4292,0.0,0.2635
1983-01-26,2.5255,3.0625,3.0938,3.0312,3.0625,124800.0,2.9125,3.0612,0.5423,624.0,0.2561
1983-01-27,2.577,3.125,3.2188,3.0312,3.0625,139600.0,2.9688,3.0762,0.5166,2.0,0.2495
1983-01-28,2.7059,3.2812,3.3125,3.0938,3.125,342000.0,3.0875,3.0919,0.9309,0.4,0.2468
1983-01-31,2.5513,3.0938,3.375,3.0938,3.2812,97200.0,3.125,3.1044,3.1875,0.5,0.2409
1983-02-01,2.474,3.0,3.125,3.0,3.0938,103200.0,3.1125,3.1144,1.5664,0.3333,0.2366
1983-02-02,2.6801,3.25,3.25,3.0,3.0,113600.0,3.15,3.1306,1.1456,0.0,0.2328
1983-02-03,2.6801,3.25,3.3125,3.2188,3.25,255600.0,3.175,3.1463,1.4631,936.5,0.2288
1983-02-04,2.7574,3.3438,3.375,3.2812,3.2812,168400.0,3.1875,3.1619,0.7606,0.5,0.2271
1983-02-07,2.8347,3.4375,3.4688,3.3125,3.3438,217200.0,3.2562,3.1794,3.4062,0.6667,0.2284
1983-02-08,2.7317,3.3125,3.4688,3.3125,3.4375,108400.0,3.3188,3.1888,1.1201,0.25,0.2254
1983-02-09,2.6801,3.25,3.3438,3.1875,3.3125,314000.0,3.3188,3.1925,1.6006,1.5,0.2216
1983-02-10,2.8863,3.5,3.5,3.1875,3.25,234000.0,3.3688,3.1988,0.9096,0.25,0.2248
1983-02-11,2.8605,3.4688,3.5312,3.4375,3.5,212400.0,3.3938,3.2062,0.6805,2.0,0.2262
1983-02-14,2.8347,3.4375,3.4688,3.375,3.4688,53600.0,3.3938,3.215,3.4271,2.0,0.2261
1983-02-15,2.7574,3.3438,3.4375,3.3125,3.4375,152400.0,3.4,3.2238,2.4891,0.3333,0.2235
1983-02-16,2.6544,3.2188,3.375,3.2188,3.3438,140000.0,3.3938,3.2262,1.3235,0.25,0.2201
1983-02-17,2.7059,3.2812,3.3438,3.1875,3.2188,117600.0,3.35,3.2294,0.8297,1.5,0.217
1983-02-18,2.7317,3.3125,3.3438,3.25,3.2812,44800.0,3.3188,3.2331,0.291,2.0,0.2143
1983-02-22,2.8863,3.5,3.5,3.375,3.375,167200.0,3.3312,3.24,3.4583,0.0,0.2157
1983-02-23,2.9121,3.5312,3.5625,3.4688,3.5,370000.0,3.3688,3.245,2.425,2.0,0.2179
1983-02-24,2.9894,3.625,3.6562,3.5312,3.5312,452000.0,3.45,3.2562,1.6469,0.3333,0.2232
1983-02-25,2.9378,3.5625,3.625,3.5,3.625,194400.0,3.5062,3.2644,0.5851,1.0,0.2254
1983-02-28,2.9636,3.5938,3.625,3.5312,3.5625,175200.0,3.5625,3.2719,3.5833,2.0,0.2283
1983-03-01,3.0924,3.75,3.75,3.5625,3.5938,324000.0,3.6125,3.2781,2.3933,0.2,0.2373
1983-03-02,3.0667,3.7188,3.7812,3.7188,3.75,208000.0,3.65,3.2856,1.0999,1.0,0.2438
1983-03-03,3.1182,3.7812,3.8438,3.7188,3.7188,368400.0,3.6812,3.2944,1.2951,1.0,0.2521
1983-03-04,3.1698,3.8438,3.875,3.7812,3.7812,381200.0,3.7375,3.3038,1.0031,0.5,0.2622
1983-03-07,3.0924,3.75,3.8125,3.7188,3.8125,154000.0,3.7688,3.3088,3.7604,0.5,0.2675
1983-03-08,3.0667,3.7188,3.8125,3.6875,3.75,115200.0,3.7625,3.3131,1.6003,3.0,0.2712
1983-03-09,2.9894,3.625,3.6875,3.5,3.6875,238800.0,3.7438,3.315,1.6942,2.0,0.2721
1983-03-10,2.8605,3.4688,3.625,3.4375,3.625,91200.0,3.6812,3.3144,0.5343,0.2,0.2702
1983-03-11,2.8347,3.4375,3.4688,3.4062,3.4688,54800.0,3.6,3.3175,0.288,1.0,0.2679
1983-03-14,2.7317,3.3125,3.4375,3.3125,3.4375,77600.0,3.5125,3.3175,3.3542,0.0,0.2653
1983-03-15,2.8605,3.4688,3.4688,3.3438,3.3438,58800.0,3.4625,3.3225,1.4774,0.0,0.2602
1983-03-16,2.9636,3.5938,3.6562,3.5,3.5,142400.0,3.4562,3.3294,1.8302,0.6667,0.2566
1983-03-17,2.8863,3.5,3.5938,3.4688,3.5938,105600.0,3.4625,3.3325,0.9672,0.3333,0.2488
1983-03-18,2.809,3.4062,3.5,3.375,3.5,72400.0,3.4562,3.3356,0.5432,0.3333,0.2438
1983-03-21,2.8152,3.4062,3.4375,3.3125,3.4062,193200.0,3.475,3.3388,3.3854,1249.0,0.2392
1983-03-22,2.8668,3.4688,3.5,3.375,3.4062,151600.0,3.475,3.3431,1.516,1.0,0.2353
1983-03-23,2.841,3.4375,3.5,3.4062,3.4688,344400.0,3.4438,3.3481,1.723,2.0,0.233
1983-03-24,2.8152,3.4062,3.4375,3.4062,3.4375,81600.0,3.425,3.3562,0.3617,0.0,0.233
1983-03-25,2.7377,3.3125,3.4688,3.25,3.4062,303600.0,3.4062,3.3606,0.9449,1.3333,0.2325
1983-03-28,2.8152,3.4062,3.4062,3.2812,3.3125,199600.0,3.4062,3.3669,3.3646,0.3333,0.232
1983-03-29,2.8152,3.4062,3.4688,3.375,3.4062,164800.0,3.3938,3.3725,1.5452,936.5,0.2313
1983-03-30,2.8927,3.5,3.5,3.4688,3.4688,113200.0,3.4062,3.3806,0.8271,0.0,0.2316
1983-03-31,2.7635,3.3438,3.5312,3.3125,3.5,556400.0,3.3938,3.3869,1.8273,0.4,0.2316
1983-04-04,2.686,3.25,3.3125,3.25,3.3125,242800.0,3.3812,3.395,0.622,0.0,0.2311
1983-04-05,2.686,3.25,3.2812,3.1875,3.25,479200.0,3.35,3.4062,0.8841,936.5,0.227
1983-04-06,2.7377,3.3125,3.4062,3.2812,3.2812,260800.0,3.3312,3.4144,0.431,3.0,0.2267
1983-04-07,2.7893,3.375,3.375,3.2188,3.3125,246400.0,3.3062,3.4206,0.3618,1.5,0.2268
1983-04-08,2.8152,3.4062,3.4062,3.3438,3.375,150800.0,3.3188,3.4275,0.2115,1.0,0.2268
1983-04-11,2.8152,3.4062,3.4062,3.3438,3.4062,132000.0,3.35,3.4331,3.3854,624.0,0.2267
1983-04-12,2.7893,3.375,3.4375,3.375,3.4062,220400.0,3.375,3.435,2.1238,1.0,0.2253
1983-04-13,2.8152,3.4062,3.4688,3.375,3.375,129200.0,3.3938,3.4412,0.9166,2.0,0.2254
1983-04-14,2.8927,3.5,3.5,3.4375,3.4375,213200.0,3.4188,3.4512,1.0676,0.0,0.2249
1983-04-15,2.9443,3.5625,3.5625,3.4688,3.5,107600.0,3.45,3.4575,0.4735,0.5,0.2248
1983-04-18,2.9443,3.5625,3.5625,3.5312,3.5625,105200.0,3.4812,3.4638,3.5521,311.5,0.2247
1983-04-19,2.9185,3.5312,3.5938,3.5312,3.5625,184800.0,3.5125,3.4675,2.2635,1.0,0.2234
1983-04-20,2.996,3.625,3.6562,3.5312,3.5312,284400.0,3.5562,3.4712,1.7845,0.3333,0.2215
