Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty,Deviation
2017-06-21,20.76,20.76,20.95,20.69,20.81,67500.0,20.742,22.4754,20.8,4.2001,1.7154
2017-06-22,20.67,20.67,20.76,20.55,20.76,85400.0,20.664,22.4588,11.5393,1.3333,1.7525
2017-06-23,20.89,20.89,21.34,20.57,20.57,118700.0,20.694,22.4378,9.1487,1.4063,1.687
2017-06-26,21.19,21.19,21.36,21.04,21.08,202600.0,20.814,22.424,21.1967,1.9091,1.5859
2017-06-27,21.02,21.02,21.2,20.98,21.2,90200.0,20.906,22.4032,6.4898,0.2222,1.5475
2017-06-28,20.99,20.99,21.24,20.82,21.07,141000.0,20.952,22.361,6.8311,4.25,1.5195
2017-06-29,20.84,20.84,21.27,20.78,21.17,146500.0,20.986,22.3192,5.2923,0.4848,1.5138
2017-06-30,21.08,21.08,21.19,20.95,20.97,156100.0,21.024,22.2864,4.4671,1.1818,1.4789
2017-07-03,21.4,21.4,21.53,21.17,21.17,164900.0,21.066,22.2544,21.3667,0.5652,1.4231
2017-07-05,22.01,22.01,22.05,21.34,21.7,379000.0,21.264,22.2302,15.1907,1.2903,1.3519
2017-07-06,22.06,22.06,22.19,21.56,22.02,245600.0,21.478,22.211,6.8241,14.7504,1.2898
2017-07-07,22.87,22.87,23.27,22.04,22.18,354000.0,21.884,22.218,7.0356,0.7826,1.2491
2017-07-10,23.15,23.15,23.58,22.87,23.21,184800.0,22.298,22.2332,23.2,10.8334,1.2268
2017-07-11,23.08,23.08,23.39,22.96,23.24,167400.0,22.634,22.2406,11.0,1.6875,1.2032
2017-07-12,23.43,23.43,23.54,23.04,23.31,268600.0,22.918,22.242,10.097,3.1666,1.2022
2017-07-13,23.52,23.52,23.91,23.45,23.63,109500.0,23.21,22.229,3.5425,3.1819,1.208
2017-07-14,23.87,23.87,23.97,23.53,23.54,121600.0,23.41,22.2142,3.3958,0.3333,1.2388
2017-07-17,24.39,24.39,24.47,23.65,24.09,105500.0,23.658,22.2084,24.17,1.7333,1.3091
2017-07-18,24.49,24.49,25.0,24.43,24.66,122200.0,23.94,22.1964,13.2236,2.3529,1.3786
2017-07-19,25.16,25.16,25.41,24.925,25.0,108800.0,24.286,22.2138,8.1366,2.0313,1.4965
2017-07-20,24.89,24.89,25.29,24.52,25.29,242400.0,24.56,22.2266,10.4263,0.925,1.5718
2017-07-21,24.99,24.99,25.04,24.17,24.45,121600.0,24.784,22.2366,4.2935,0.6111,1.644
2017-07-24,24.93,24.93,25.15,24.84,24.99,90600.0,24.892,22.2534,24.9733,4.1667,1.702
2017-07-25,25.09,25.09,25.4,25.0,25.0,111200.0,25.012,22.2712,13.866,3.4444,1.7627
2017-07-26,25.39,25.39,25.47,24.79,25.05,66800.0,25.058,22.2818,6.2713,1.0,1.8356
2017-07-27,25.06,25.06,25.41,24.88,25.33,582100.0,25.092,22.2744,17.1863,0.963,1.881
2017-07-28,25.35,25.35,25.48,24.47,24.87,90700.0,25.164,22.2774,2.4183,1.1042,1.9383
2017-07-31,26.36,26.36,26.73,25.231,25.41,307200.0,25.45,22.3936,26.107,0.5779,2.0456
2017-08-01,25.9,25.9,26.74,25.67,26.17,295600.0,25.612,22.4838,12.8005,2.963,2.1078
2017-08-02,26.1,26.1,26.3,25.71,25.94,328900.0,25.754,22.5994,9.1912,2.6875,2.1687
2017-08-03,26.73,26.73,26.75,26.14,26.24,120600.0,26.088,22.728,3.0416,0.2449,2.2512
2017-08-04,26.53,26.53,26.958,26.38,26.89,386100.0,26.324,22.819,7.1461,0.6056,2.3108
2017-08-07,26.55,26.55,26.91,26.38,26.6,138500.0,26.362,22.889,26.6133,9.5998,2.3631
