Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty,Deviation
1977-01-03,0.611,4.8516,4.8516,4.7812,4.7812,198400.0,4.8234,4.7722,4.8281,0.0,0.0794
1977-01-04,0.6061,4.8125,4.875,4.7969,4.8516,308800.0,4.8141,4.7738,2.9395,1.0,0.0624
1977-01-05,0.5864,4.6562,4.8125,4.6562,4.8125,286400.0,4.7813,4.7734,1.6992,0.0,0.0847
1977-01-06,0.5913,4.6953,4.7188,4.6562,4.6562,382400.0,4.7625,4.7736,1.5251,0.6,0.0831
1977-01-07,0.5913,4.6953,4.7109,4.6641,4.6953,667200.0,4.7422,4.7744,1.6977,467.75,0.0823
1977-01-10,0.5952,4.7266,4.7344,4.6562,4.6953,208000.0,4.7172,4.7752,4.7057,1.5,0.0777
1977-01-11,0.5903,4.6875,4.7734,4.6719,4.7266,212800.0,4.6922,4.7755,2.3823,1.6,0.0793
1977-01-12,0.5844,4.6406,4.6719,4.5938,4.6719,336000.0,4.6891,4.7747,2.058,1.5,0.088
1977-01-13,0.5982,4.75,4.75,4.6328,4.6406,436800.0,4.7,4.7763,1.724,0.0714,0.0835
1977-01-14,0.5903,4.6875,4.75,4.6875,4.75,166400.0,4.6984,4.7781,0.5761,0.0,0.0842
1977-01-17,0.5923,4.7031,4.7031,4.6562,4.6875,80000.0,4.6938,4.7797,4.6875,2.0,0.0835
1977-01-18,0.5893,4.6797,4.6875,4.6719,4.6875,118400.0,4.6922,4.7828,2.7927,1.0001,0.0853
1977-01-19,0.608,4.8281,4.8281,4.6875,4.6875,540800.0,4.7297,4.7922,3.498,0.0,0.0826
1977-01-20,0.5982,4.75,4.8438,4.75,4.8281,222400.0,4.7297,4.7986,1.1058,0.2,0.0806
1977-01-21,0.5952,4.7266,4.7656,4.7266,4.75,100800.0,4.7375,4.805,0.4497,0.6667,0.0805
1977-01-24,0.6021,4.7812,4.7891,4.7344,4.7344,299200.0,4.7531,4.8122,4.7682,0.1667,0.0783
1977-01-25,0.6031,4.7891,4.8047,4.75,4.7812,182400.0,4.775,4.8183,1.8108,5.9996,0.0763
1977-01-26,0.6061,4.8125,4.8359,4.7969,4.7969,124800.0,4.7719,4.8242,0.991,1.5,0.0742
1977-01-27,0.6051,4.8047,4.8125,4.7969,4.8125,124800.0,4.7828,4.8291,0.8201,1.0001,0.0725
1977-01-28,0.6061,4.8125,4.8516,4.7969,4.8047,368000.0,4.8,4.8316,1.6138,6.0005,0.0707
1977-01-31,0.6021,4.7812,4.8516,4.7812,4.8125,633600.0,4.8,4.8309,4.8047,1.25,0.0699
1977-02-01,0.6041,4.7969,4.8281,4.7812,4.7812,208000.0,4.8016,4.8303,1.1868,2.0,0.0687
1977-02-02,0.6041,4.7969,4.8359,4.7812,4.7969,745600.0,4.7984,4.8298,2.257,545.8798,0.0675
1977-02-03,0.6031,4.7891,4.8203,4.7812,4.7969,188800.0,4.7953,4.8289,0.5099,4.0004,0.0666
1977-02-04,0.6071,4.8203,4.8438,4.8047,4.8047,166400.0,4.7969,4.8272,0.4132,1.5,0.0652
1977-02-07,0.6159,4.8906,4.8906,4.8203,4.8203,164800.0,4.8188,4.8258,4.8672,0.0,0.0652
1977-02-08,0.6356,5.0469,5.0781,4.9453,4.9453,628800.0,4.8688,4.8272,3.9803,0.3077,0.0767
1977-02-09,0.6572,5.2188,5.3125,5.1875,5.1875,1396800.0,4.9531,4.8317,3.3412,3.0,0.105
1977-02-10,0.6631,5.2656,5.2734,5.2344,5.2344,851200.0,5.0484,4.8386,1.4714,0.25,0.1301
1977-02-11,0.6631,5.2656,5.2891,5.2188,5.2656,622400.0,5.1375,4.8455,0.8931,702.1298,0.1492
1977-02-14,0.6619,5.2344,5.2344,5.1875,5.2344,491200.0,5.2062,4.8516,5.2188,467.75,0.162
1977-02-15,0.6638,5.25,5.2656,5.2188,5.2344,342400.0,5.2469,4.858,2.1543,2.0,0.1739
1977-02-16,0.6579,5.2031,5.2266,5.1875,5.2266,326400.0,5.2438,4.8636,1.4648,0.6667,0.1812
1977-02-17,0.6461,5.1094,5.2031,5.1094,5.2031,281600.0,5.2125,4.8664,1.0042,0.0,0.1833
1977-02-18,0.6461,5.1094,5.1094,5.0469,5.1094,564800.0,5.1812,4.8695,1.4324,624.0,0.1851
1977-02-22,0.6421,5.0781,5.1016,5.0625,5.1016,307200.0,5.15,4.8716,5.0807,0.6667,0.1858
1977-02-23,0.6421,5.0781,5.1172,5.0781,5.0781,129600.0,5.1156,4.8734,1.5106,389.6298,0.1863
1977-02-24,0.6342,5.0156,5.0938,5.0156,5.0781,587200.0,5.0781,4.8734,2.8911,0.25,0.1853
1977-02-25,0.6352,5.0234,5.0703,5.0078,5.0156,200000.0,5.0609,4.8752,0.8225,6.9995,0.1844
1977-02-28,0.6362,5.0312,5.0625,5.0234,5.0234,275200.0,5.0453,4.8783,5.0391,4.0002,0.1837
1977-03-01,0.6441,5.0938,5.0938,5.0234,5.0312,198400.0,5.0484,4.8845,2.124,0.125,0.1844
1977-03-02,0.651,5.1484,5.1562,5.0859,5.0938,174400.0,5.0625,4.8931,1.3807,0.2857,0.1864
1977-03-03,0.6569,5.1953,5.25,5.1562,5.1562,188800.0,5.0984,4.902,1.1733,1.4,0.1895
1977-03-04,0.6718,5.3125,5.3359,5.2109,5.2109,635200.0,5.1563,4.9102,2.2812,0.2308,0.1969
1977-03-07,0.6678,5.2812,5.3281,5.2812,5.3125,289600.0,5.2063,4.9177,5.2969,0.5,0.2021
1977-03-08,0.6698,5.2969,5.3516,5.2656,5.2812,401600.0,5.2469,4.9258,3.0821,4.5,0.2073
1977-03-09,0.6698,5.2969,5.2969,5.2188,5.2969,233600.0,5.2766,4.9345,1.3314,780.25,0.2118
1977-03-10,0.6559,5.1875,5.2031,5.1719,5.2031,561600.0,5.275,4.9419,1.96,1.0,0.2125
1977-03-11,0.6559,5.1875,5.2188,5.1797,5.1875,480000.0,5.25,4.9498,1.2682,389.6202,0.2131
1977-03-14,0.653,5.1641,5.2031,5.1641,5.1875,204800.0,5.2266,4.9572,5.1771,0.6667,0.2129
1977-03-15,0.653,5.1641,5.1953,5.1562,5.1641,390400.0,5.2,4.9634,3.3923,389.6298,0.2145
1977-03-16,0.653,5.1641,5.1797,5.1641,5.1641,632000.0,5.1734,4.9705,2.6621,155.25,0.2162
1977-03-17,0.6579,5.2031,5.2031,5.125,5.1641,361600.0,5.1766,4.9814,1.1783,1.0,0.2178
1977-03-18,0.6619,5.2344,5.2578,5.2188,5.2188,528000.0,5.1859,4.9922,1.3063,1.5,0.2202
1977-03-21,0.648,5.125,5.2188,5.125,5.2188,355200.0,5.1781,5.0008,5.1562,0.0,0.2207
1977-03-22,0.6471,5.1172,5.1406,5.1016,5.125,172800.0,5.1688,5.0086,1.6756,4.0002,0.2211
1977-03-23,0.6392,5.0547,5.1328,5.0391,5.1172,449600.0,5.1469,5.0159,2.3342,0.5,0.2208
1977-03-24,0.6303,4.9844,5.0156,4.9688,5.0156,680000.0,5.1031,5.0228,2.0469,0.5,0.2201
1977-03-25,0.6273,4.9609,5.0,4.9609,4.9844,270400.0,5.0484,5.027,0.6976,0.6667,0.2202
1977-03-28,0.6293,4.9766,4.9844,4.9609,4.9609,164800.0,5.0188,5.0328,4.974,0.5,0.22
1977-03-29,0.6352,5.0234,5.0312,4.9844,4.9844,270400.0,5.0,5.0392,3.1147,0.2,0.2197
1977-03-30,0.6352,5.0234,5.0625,5.0156,5.0234,244800.0,4.9938,5.0461,1.8122,467.75,0.2193
1977-03-31,0.6362,5.0312,5.0469,5.0156,5.0234,193600.0,5.0031,5.0502,1.115,3.0002,0.2192
1977-04-01,0.6362,5.0312,5.0547,5.0312,5.0312,142400.0,5.0172,5.0558,0.7063,233.3798,0.2191
1977-04-04,0.6322,5.0,5.0312,5.0,5.0312,217600.0,5.0219,5.0613,5.0104,0.0,0.219
1977-04-05,0.6362,5.0312,5.0703,5.0,5.0,377600.0,5.0234,5.0663,3.1935,1.25,0.2191
1977-04-06,0.6559,5.1875,5.1953,5.0312,5.0312,329600.0,5.0562,5.0742,1.8312,0.05,0.2196
1977-04-07,0.6559,5.1875,5.2109,5.1719,5.1875,155200.0,5.0875,5.0817,0.7458,389.6298,0.2201
1977-04-11,0.6559,5.1875,5.2109,5.1406,5.1875,142400.0,5.1188,5.0894,0.6034,702.1298,0.2205
1977-04-12,0.6638,5.25,5.2578,5.1953,5.1953,284800.0,5.1688,5.0981,0.9891,0.1429,0.2215
1977-04-13,0.6915,5.4688,5.5,5.2344,5.25,673600.0,5.2562,5.1119,1.6683,0.2143,0.2271
1977-04-14,0.6876,5.4375,5.5078,5.4062,5.4688,1228800.0,5.3062,5.1247,1.9643,2.25,0.2313
1977-04-15,0.6777,5.3594,5.4062,5.3281,5.4062,420800.0,5.3406,5.1359,0.5893,0.6667,0.2334
1977-04-18,0.6757,5.3438,5.4062,5.3438,5.3594,497600.0,5.3719,5.147,5.3646,3.0,0.235
1977-04-19,0.6708,5.3047,5.3438,5.3047,5.3438,508800.0,5.3828,5.1567,2.6884,0.0,0.2359
