Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty,Deviation
1997-12-26,3.3791,5.0625,5.0625,4.9688,5.0,1248400.0,5.0,5.5141,5.0312,0.5,0.4516
1997-12-29,3.5251,5.2812,5.2812,5.0,5.0625,430800.0,5.0688,5.506,5.1875,0.2857,0.3567
1997-12-30,3.5251,5.2812,5.3438,5.0625,5.0625,662800.0,5.1125,5.4998,3.1692,0.2857,0.3174
1997-12-31,3.7337,5.5938,5.6875,5.25,5.4062,911600.0,5.2312,5.501,2.5051,1.3333,0.2788
1998-01-02,3.8589,5.7812,5.7812,5.5312,5.5312,112400.0,5.4,5.5048,0.3024,0.0,0.2783
1998-01-05,3.7546,5.625,6.0938,5.625,6.0312,629600.0,5.5125,5.5029,5.7812,0.1538,0.2589
1998-01-06,3.619,5.4219,5.5938,5.25,5.5938,915200.0,5.5406,5.4995,3.2121,1.0,0.2415
1998-01-07,3.7129,5.5625,5.75,5.4219,5.4219,164800.0,5.5969,5.4963,0.5377,1.3333,0.2271
1998-01-08,3.838,5.75,5.7812,5.5,5.5,236000.0,5.6281,5.5029,0.6886,0.125,0.2294
1998-01-09,3.6711,5.5,5.75,5.5,5.6562,140400.0,5.5719,5.501,0.3758,0.6,0.2176
1998-01-12,3.5669,5.3438,5.5312,5.3438,5.375,927200.0,5.5156,5.4948,5.4062,5.0,0.2124
1998-01-13,3.6294,5.4375,5.5,5.3125,5.5,100400.0,5.5188,5.4935,0.5292,2.0,0.204
1998-01-14,3.5773,5.3594,5.5625,5.3438,5.4375,585600.0,5.4781,5.4907,1.9682,1.8,0.1994
1998-01-15,3.5877,5.375,5.4375,5.3438,5.4375,417200.0,5.4031,5.4835,1.1066,0.5,0.1943
1998-01-16,3.7129,5.5625,5.5938,5.3438,5.4375,69200.0,5.4156,5.4791,0.1813,1.0,0.189
1998-01-20,3.8589,5.7812,5.7812,5.5,5.5,348800.0,5.5031,5.4766,5.6875,0.0,0.1982
1998-01-21,3.838,5.75,5.7812,5.7188,5.75,141600.0,5.5656,5.4666,1.6603,624.0,0.2042
1998-01-22,3.7754,5.6562,5.75,5.6562,5.7188,92400.0,5.625,5.451,0.9017,0.5,0.2042
1998-01-23,3.8797,5.8125,5.875,5.6562,5.6562,211200.0,5.7125,5.4441,1.5378,0.4,0.216
1998-01-26,3.8172,5.7188,5.875,5.625,5.875,497200.0,5.7438,5.4385,5.7396,0.6,0.2197
1998-01-27,3.7546,5.625,5.75,5.625,5.75,96400.0,5.7125,5.4373,0.9203,0.0,0.2182
1998-01-28,3.7754,5.6562,5.6875,5.625,5.625,154800.0,5.6938,5.4404,1.1699,1.0,0.2181
1998-01-29,3.8172,5.7188,5.8125,5.6562,5.6562,108400.0,5.7062,5.446,0.7248,1.5,0.2208
1998-01-30,3.8172,5.7188,5.7969,5.6562,5.7969,130400.0,5.6875,5.4441,0.7561,0.8,0.2233
1998-02-02,4.0049,6.0,6.1562,5.7812,5.7812,580800.0,5.7438,5.4498,5.9792,0.7143,0.2449
1998-02-03,4.0049,6.0,6.125,5.9375,5.9375,159200.0,5.8188,5.4585,1.2953,2.0,0.2626
1998-02-04,3.9423,5.9062,6.0938,5.9062,6.0,557600.0,5.8688,5.4654,2.5649,1.0,0.2713
1998-02-05,3.9214,5.875,5.9688,5.875,5.875,73200.0,5.9,5.4723,0.3154,936.5,0.277
1998-02-06,3.9632,5.9375,6.0938,5.875,5.9688,246800.0,5.9438,5.4804,0.9107,6.0,0.2852
1998-02-09,4.0466,6.0625,6.1875,5.9062,5.9062,724800.0,5.9562,5.4913,6.0521,0.8,0.2991
1998-02-10,4.1718,6.25,6.3125,6.0625,6.0625,401600.0,6.0062,5.5113,2.2135,0.3333,0.3228
1998-02-11,3.838,5.75,6.25,5.5312,6.1562,2063200.0,5.975,5.5212,3.78,0.7692,0.3203
1998-02-12,3.9423,5.9062,5.9062,5.75,5.8125,464400.0,5.9812,5.5341,0.744,0.6667,0.322
1998-02-13,3.9632,5.9375,5.9688,5.8125,5.9688,163200.0,5.9812,5.5459,0.2525,4.0,0.3242
1998-02-17,3.9423,5.9062,6.0312,5.875,6.0312,697200.0,5.95,5.5541,5.9375,0.25,0.3251
1998-02-18,3.9423,5.9062,6.0,5.9062,6.0,2071200.0,5.8812,5.5612,4.4422,0.0,0.3256
1998-02-19,3.9006,5.8438,6.0,5.8438,6.0,184800.0,5.9,5.5644,0.3689,0.0,0.3245
1998-02-20,3.8589,5.7812,5.9062,5.7812,5.8438,89200.0,5.875,5.5656,0.1707,1.0,0.3221
1998-02-23,3.8172,5.7188,5.8438,5.7188,5.7812,621600.0,5.8312,5.5681,5.7604,1.0,0.3188
1998-02-24,3.6711,5.5,5.8281,5.5,5.7188,417600.0,5.75,5.5706,2.2541,0.5,0.315
1998-02-25,3.7337,5.5938,5.625,5.4688,5.5,201200.0,5.6875,5.5762,0.9023,0.6667,0.3112
1998-02-26,3.6503,5.4688,5.5625,5.4688,5.5625,149200.0,5.6125,5.5825,0.5905,0.0,0.3079
1998-02-27,3.7963,5.6875,5.6875,5.4688,5.5312,278000.0,5.5938,5.5919,0.936,0.4,0.3047
1998-03-02,3.6086,5.4062,5.6875,5.4062,5.6016,360400.0,5.5312,5.5956,5.5,0.44,0.3026
1998-03-03,3.5877,5.375,5.5,5.3438,5.5,414000.0,5.5062,5.6025,2.8902,0.25,0.3011
1998-03-04,3.6086,5.4062,5.5,5.375,5.5,489600.0,5.4688,5.6106,2.1021,0.3333,0.2993
1998-03-05,3.6086,5.4062,5.4375,5.3438,5.3438,228000.0,5.4562,5.62,0.8246,0.5,0.2978
1998-03-06,3.6294,5.4375,5.5,5.375,5.375,424400.0,5.4062,5.6275,1.2042,1.0,0.2959
1998-03-09,3.6294,5.4375,5.5,5.375,5.5,106400.0,5.4125,5.6363,5.4375,1.0,0.2943
1998-03-10,3.5976,5.375,5.4375,5.375,5.4375,232400.0,5.4125,5.645,3.7013,0.0,0.2938
1998-03-11,3.6918,5.5156,5.5625,5.375,5.4375,1950800.0,5.4344,5.6541,4.6728,1.4,0.2874
1998-03-12,3.7022,5.5312,5.625,5.5,5.5,297200.0,5.4594,5.6591,0.6379,3.0,0.2862
1998-03-13,3.8068,5.6875,5.7812,5.5,5.5312,247200.0,5.5094,5.6672,0.4934,0.8,0.2846
1998-03-16,3.9532,5.9062,5.9688,5.625,5.75,792400.0,5.6031,5.6734,5.8333,1.2,0.2862
