Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty,Deviation
1982-03-12,0.8193,3.5892,3.5892,3.4622,3.5257,2238440.0,3.5448,4.4481,3.5469,1.0,0.8589
1982-03-15,0.87,3.8116,3.8116,3.5575,3.6845,2013337.0,3.5988,4.4214,3.7269,1.0,0.7448
1982-03-16,0.8555,3.7481,3.7957,3.6528,3.7322,1831523.0,3.6305,4.3951,1.7778,8.0004,0.7137
1982-03-17,0.8265,3.621,3.6686,3.5416,3.6051,1000372.0,3.6559,4.37,0.7454,6.9997,0.7227
1982-03-18,0.8338,3.6528,3.6845,3.6051,3.6528,1294738.0,3.6845,4.3474,0.7691,793.0793,0.7172
1982-03-19,0.841,3.6845,3.7163,3.621,3.6686,1327795.0,3.7036,4.3265,0.6532,4.9998,0.7052
1982-03-22,0.8483,3.7163,3.7639,3.6845,3.7322,1268764.0,3.6845,4.308,3.7216,3.9999,0.6901
1982-03-23,0.8374,3.6686,3.7322,3.6369,3.6845,1097969.0,3.6686,4.2925,1.7069,4.9999,0.6822
1982-03-24,0.8555,3.7481,3.7639,3.6845,3.7322,3734669.0,3.6941,4.2801,2.2845,4.0002,0.6672
1982-03-25,0.841,3.6845,3.7481,3.6845,3.7163,1755963.0,3.7004,4.2667,0.8282,1.0,0.6592
1982-03-26,0.8519,3.7322,3.7798,3.621,3.7004,1722119.0,3.7099,4.2518,0.6671,4.0,0.6477
1982-03-29,0.8773,3.8433,3.8433,3.6686,3.7639,1341962.0,3.7354,4.2302,3.7851,1.2,0.6301
1982-03-30,0.8773,3.8433,3.8751,3.7481,3.8116,2434422.0,3.7703,4.2051,2.4639,3.0,0.6137
1982-03-31,0.8954,3.9228,3.9545,3.8433,3.9069,2202235.0,3.8052,4.1845,1.4391,5.9998,0.5955
1982-04-01,0.9171,4.018,4.0339,3.9069,3.9704,2661886.0,3.8719,4.1705,1.2281,1.6667,0.5766
1982-04-02,0.9461,4.1451,4.1451,4.0339,4.0975,1929907.0,3.9545,4.1572,0.75,1.3333,0.5583
1982-04-05,0.9389,4.1133,4.161,4.0657,4.1133,2044820.0,4.0085,4.1435,4.1133,951.8971,0.5417
1982-04-06,0.9353,4.0975,4.1133,4.0022,4.0657,4173857.0,4.0593,4.126,2.7324,2.5,0.5265
1982-04-07,0.9244,4.0498,4.1292,4.018,4.0816,1360065.0,4.0847,4.1086,0.7296,2.5,0.5126
1982-04-08,0.9425,4.1292,4.1769,4.0816,4.1292,1422244.0,4.107,4.0921,0.6525,951.8875,0.4997
1982-04-12,0.9171,4.018,4.1451,4.0022,4.0816,1116072.0,4.0816,4.0727,0.4473,1.25,0.4878
1982-04-13,0.8918,3.9069,4.0498,3.9069,3.9863,1456088.0,4.0403,4.0517,0.4975,0.8,0.4776
1982-04-14,0.9063,3.9704,3.9863,3.9228,3.9545,1312840.0,4.0149,4.0349,0.4034,2.9999,0.4673
1982-04-15,0.928,4.0657,4.0975,3.9386,4.018,1554472.0,4.018,4.0222,0.4342,2.3334,0.4575
