Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty,Deviation
1970-01-02,0.4857,3.2656,3.2656,3.1953,3.1953,526400.0,3.1984,3.3264,3.2422,0.0,0.0608
1970-01-05,0.488,3.2812,3.3047,3.2578,3.2656,1121600.0,3.2125,3.3222,3.2813,2.0,0.0518
1970-01-06,0.4811,3.2344,3.2969,3.2188,3.2812,553600.0,3.2281,3.3175,1.074,0.6667,0.064
1970-01-07,0.4799,3.2266,3.2422,3.1953,3.2344,451200.0,3.2406,3.3127,0.6835,5.0004,0.0702
1970-01-08,0.4892,3.2891,3.3125,3.2656,3.2656,635200.0,3.2594,3.3089,0.7565,1.0,0.0634
1970-01-09,0.4904,3.2969,3.2969,3.2734,3.2891,515200.0,3.2656,3.3045,0.5171,2.0001,0.058
1970-01-12,0.4869,3.2734,3.3203,3.25,3.2969,334400.0,3.2641,3.3008,3.2813,2.0001,0.0546
1970-01-13,0.4799,3.2266,3.2734,3.2188,3.2734,372800.0,3.2625,3.2959,1.7077,0.1667,0.0567
1970-01-14,0.4648,3.125,3.2266,3.1016,3.2266,1124800.0,3.2422,3.2875,1.9347,0.2308,0.0761
1970-01-15,0.4636,3.1172,3.1406,3.1016,3.125,336000.0,3.2078,3.278,0.4835,4.0002,0.0883
1970-01-16,0.4636,3.1172,3.125,3.0859,3.1172,425600.0,3.1719,3.2666,0.5102,389.6202,0.0955
1970-01-19,0.4625,3.1094,3.1172,3.0859,3.1172,508800.0,3.1391,3.2563,3.1042,2.9998,0.1008
1970-01-20,0.4578,3.0781,3.1094,3.0703,3.1094,588800.0,3.1094,3.2461,1.6554,0.25,0.1075
1970-01-21,0.4543,3.0547,3.0859,3.0469,3.0781,454400.0,3.0953,3.2342,0.8966,0.6667,0.1141
1970-01-22,0.4555,3.0625,3.0938,3.0312,3.0547,640000.0,3.0844,3.2227,0.8942,7.0005,0.1178
1970-01-23,0.4532,3.0469,3.0625,3.0312,3.0625,427200.0,3.0703,3.2113,0.497,1.0,0.1212
1970-01-26,0.4497,3.0234,3.0469,2.9766,3.0469,732800.0,3.0531,3.1989,3.0156,2.0,0.125
1970-01-27,0.4485,3.0156,3.0156,2.9453,3.0156,540800.0,3.0406,3.1867,1.2706,702.1202,0.128
1970-01-28,0.4334,2.9141,3.0312,2.9141,3.0156,499200.0,3.0125,3.1738,0.8316,0.1538,0.1381
1970-01-29,0.4323,2.9062,2.9375,2.875,2.9141,696000.0,2.9813,3.1623,0.8193,6.9995,0.1463
1970-01-30,0.4288,2.8828,2.9375,2.8594,2.9062,817600.0,2.9484,3.1503,0.7198,2.3334,0.1542
1970-02-02,0.4276,2.875,2.9062,2.8594,2.8828,937600.0,2.9188,3.138,2.8802,4.9996,0.1608
1970-02-03,0.4241,2.8516,2.8828,2.8438,2.875,1971200.0,2.8859,3.1267,1.9377,0.6667,0.1674
1970-02-04,0.4343,2.875,2.8828,2.8516,2.8516,534400.0,2.8781,3.1172,0.4454,0.3334,0.1712
1970-02-05,0.4343,2.875,2.875,2.8516,2.875,337600.0,2.8719,3.1091,0.256,233.3702,0.1741
1970-02-06,0.4319,2.8594,2.875,2.8516,2.875,272000.0,2.8672,3.1014,0.1921,0.5,0.1772
1970-02-09,0.4307,2.8516,2.875,2.8516,2.8594,558400.0,2.8625,3.0947,2.8594,2.0001,0.1801
1970-02-10,0.4083,2.7031,2.8672,2.7031,2.8516,996800.0,2.8328,3.0847,1.7676,0.1053,0.191
1970-02-11,0.4178,2.7656,2.7656,2.6406,2.7031,878400.0,2.8109,3.0775,0.9832,1.0,0.1964
1970-02-12,0.4083,2.7031,2.7969,2.6719,2.7656,816000.0,2.7766,3.0691,0.684,1.0,0.2043
1970-02-13,0.4107,2.7188,2.7578,2.6641,2.7031,492800.0,2.7484,3.0622,0.3573,5.0,0.2103
1970-02-16,0.4154,2.75,2.75,2.6953,2.7188,488000.0,2.7281,3.0555,2.7318,0.75,0.2139
1970-02-17,0.413,2.7344,2.7578,2.7109,2.75,451200.0,2.7344,3.048,1.3136,2.0,0.2176
1970-02-18,0.4237,2.8047,2.8125,2.75,2.75,1028800.0,2.7422,3.042,1.458,0.1428,0.2182
1970-02-19,0.4284,2.8359,2.8594,2.8125,2.8125,824000.0,2.7688,3.0375,0.837,1.0,0.2177
1970-02-20,0.4343,2.875,2.875,2.8359,2.8359,1166400.0,2.8,3.0341,0.8433,0.0,0.2163
1970-02-24,0.4343,2.875,2.875,2.8516,2.875,1043200.0,2.825,3.0305,2.8672,233.3702,0.2149
1970-02-25,0.4484,2.9688,2.9688,2.8906,2.8906,593600.0,2.8719,3.0284,1.0672,0.0,0.2123
1970-02-26,0.4532,3.0,3.0234,2.9609,2.9688,862400.0,2.9109,3.0267,1.0334,1.0,0.2096
1970-02-27,0.4484,2.9688,3.0312,2.9688,3.0,1246400.0,2.9375,3.0245,0.9948,1.0,0.2071
1970-03-02,0.4402,2.9141,2.9688,2.8906,2.9688,518400.0,2.9453,3.0216,2.9245,0.4286,0.2053
