Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty,Deviation
1989-12-13,2.4595,3.1562,3.1562,2.9844,3.0,400000.0,3.0156,2.6759,3.099,0.1,0.4804
1989-12-14,2.4352,3.125,3.1406,3.1094,3.125,391200.0,3.05,2.6884,1.5451,311.5,0.459
1989-12-15,2.423,3.1094,3.1406,3.0938,3.1406,155200.0,3.0812,2.6991,0.5108,0.5,0.4434
1989-12-18,2.3621,3.0312,3.125,3.0312,3.0781,224000.0,3.0875,2.7088,3.0625,1.0,0.4164
1989-12-19,2.3865,3.0625,3.0625,3.0312,3.0312,215200.0,3.0969,2.7191,1.4955,0.0,0.4029
1989-12-20,2.3986,3.0781,3.1094,3.0469,3.0625,166400.0,3.0812,2.73,0.8458,3.0,0.3943
1989-12-21,2.423,3.1094,3.125,3.0625,3.1094,174400.0,3.0781,2.7419,0.6929,624.0,0.3906
1989-12-22,2.4352,3.125,3.125,3.1094,3.125,173600.0,3.0812,2.7538,0.5679,155.25,0.3882
1989-12-26,2.3986,3.0781,3.1094,3.0781,3.1094,97600.0,3.0906,2.7656,3.0885,0.0,0.3805
1989-12-27,2.3621,3.0312,3.0625,3.0312,3.0625,144000.0,3.0844,2.7769,1.8129,0.0,0.3699
1989-12-28,2.3621,3.0312,3.0469,3.0312,3.0469,11200.0,3.075,2.7875,0.1345,0.0,0.3602
1989-12-29,2.4595,3.1562,3.1562,3.0156,3.0312,219200.0,3.0844,2.7997,1.444,0.125,0.3599
1990-01-02,2.3743,3.0469,3.125,3.0312,3.125,194400.0,3.0688,2.8097,3.0677,0.2,0.352
1990-01-03,2.3621,3.0312,3.0625,3.0312,3.0625,361600.0,3.0594,2.8197,1.9782,0.0,0.3439
1990-01-04,2.3012,2.9531,3.0625,2.9531,3.0312,166400.0,3.0438,2.8278,0.6886,0.4,0.3338
1990-01-05,2.2647,2.9062,2.9375,2.8594,2.9375,100800.0,3.0188,2.8347,0.3552,1.5,0.3237
1990-01-08,2.2282,2.8594,2.8906,2.8438,2.875,880800.0,2.9594,2.8409,2.8646,2.0,0.3141
1990-01-09,2.1916,2.8125,2.8438,2.8125,2.8281,282400.0,2.9125,2.8462,0.6853,1.0,0.3053
1990-01-10,2.1111,2.7031,2.7656,2.6875,2.7656,784000.0,2.8469,2.85,1.0946,0.25,0.2991
1990-01-11,2.1477,2.75,2.7656,2.7031,2.7188,347200.0,2.8062,2.855,0.4146,1.0,0.2924
1990-01-12,2.1233,2.7188,2.7344,2.6875,2.7188,159200.0,2.7688,2.8594,0.1761,467.75,0.287
1990-01-15,2.1233,2.7188,2.7344,2.7188,2.7344,25600.0,2.7406,2.8625,2.724,0.0,0.2821
1990-01-16,2.1111,2.7031,2.7031,2.625,2.6875,172800.0,2.7188,2.8638,2.3317,4.0,0.2779
1990-01-17,2.1233,2.7188,2.8125,2.7188,2.7188,216000.0,2.7219,2.8634,1.4334,936.5,0.2737
1990-01-18,2.1111,2.7031,2.7188,2.6875,2.6875,157600.0,2.7125,2.8659,0.7448,1.0,0.2701
1990-01-19,2.1477,2.75,2.75,2.7344,2.7344,8800.0,2.7188,2.8672,0.0416,0.0,0.2659
1990-01-22,2.1355,2.7344,2.75,2.7188,2.7344,56800.0,2.7219,2.8675,2.7344,311.5,0.2622
1990-01-23,2.1477,2.75,2.7656,2.7344,2.7656,101600.0,2.7312,2.8688,1.7639,1.0,0.2584
1990-01-24,2.0989,2.6875,2.7344,2.6875,2.7344,26400.0,2.725,2.8712,0.3862,0.0,0.2562
1990-01-25,2.1233,2.7188,2.7188,2.6719,2.6875,249600.0,2.7281,2.8747,1.5532,0.5,0.2535
1990-01-26,2.0867,2.6719,2.7188,2.6719,2.7031,45600.0,2.7125,2.8775,0.2553,0.5,0.2521
1990-01-29,2.0623,2.6406,2.6875,2.625,2.6875,444000.0,2.6938,2.8791,2.651,0.3333,0.2517
1990-01-30,2.0745,2.6562,2.6562,2.5781,2.625,548000.0,2.675,2.8803,1.453,1.5,0.2509
1990-01-31,2.2331,2.8594,2.8594,2.6875,2.6875,757600.0,2.7094,2.8847,1.2133,0.0,0.2472
1990-02-01,2.2331,2.8594,2.875,2.8438,2.875,149600.0,2.7375,2.8897,0.2252,1.0,0.2437
1990-02-02,2.2453,2.875,2.9062,2.875,2.875,720000.0,2.7781,2.8938,0.7932,311.5,0.2403
1990-02-05,2.2453,2.875,2.9062,2.875,2.9062,163200.0,2.825,2.8963,2.8854,0.0,0.2371
1990-02-06,2.2575,2.8906,2.9062,2.8438,2.875,99200.0,2.8719,2.8956,1.0889,3.0,0.2339
1990-02-07,2.2942,2.9375,2.9375,2.9062,2.9062,32800.0,2.8875,2.8969,0.3252,0.0,0.231
1990-02-08,2.3796,3.0469,3.125,2.9688,2.9688,346400.0,2.925,2.9012,1.645,1.0,0.2293
1990-02-09,2.343,3.0,3.125,2.9688,3.0781,179200.0,2.95,2.9053,0.6618,1.0,0.2269
1990-02-12,2.2697,2.9062,3.0,2.9062,3.0,28000.0,2.9562,2.9056,2.9375,0.0,0.2242
1990-02-13,2.3064,2.9531,2.9531,2.9375,2.9375,26400.0,2.9688,2.9066,1.4306,0.0,0.2217
1990-02-14,2.2942,2.9375,2.9688,2.9375,2.9531,32800.0,2.9688,2.9056,1.1088,1.0,0.2192
1990-02-15,2.3064,2.9531,2.9688,2.9531,2.9531,152000.0,2.95,2.9066,1.8799,155.25,0.2169
1990-02-16,2.3186,2.9688,2.9688,2.9688,2.9688,32000.0,2.9438,2.9062,0.3503,-1.0,0.2147
1990-02-20,2.3064,2.9531,2.9844,2.9531,2.9844,23200.0,2.9531,2.9062,2.9635,0.0,0.2125
1990-02-21,2.2697,2.9062,2.9531,2.9062,2.9531,553600.0,2.9438,2.9053,2.8044,0.0,0.2103
1990-02-22,2.2209,2.8438,2.9062,2.8438,2.9062,148000.0,2.925,2.9022,0.5849,0.0,0.2083
1990-02-23,2.1233,2.7188,2.7812,2.6875,2.7812,575200.0,2.8781,2.8963,1.2076,0.5,0.2077
