Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty,Deviation
1990-03-26,2.6996,3.625,3.6667,3.625,3.625,356400.0,3.625,3.3354,3.6389,415.6698,0.2896
1990-03-27,2.7307,3.6667,3.7083,3.625,3.7083,121800.0,3.6333,3.3412,0.9339,1.0,0.3081
1990-03-28,2.7617,3.7083,3.7083,3.625,3.625,100800.0,3.65,3.3475,0.6408,0.0,0.3266
1990-03-29,2.7307,3.6667,3.6667,3.6667,3.6667,33600.0,3.6583,3.3542,0.2011,-1.0,0.3231
1990-03-30,2.7617,3.7083,3.75,3.625,3.625,154800.0,3.675,3.3642,0.7452,0.5,0.3274
1990-04-02,2.8237,3.7917,3.7917,3.6667,3.6667,90000.0,3.7083,3.3767,3.75,0.0,0.3436
1990-04-03,2.8548,3.8333,3.875,3.75,3.7917,978600.0,3.7417,3.3925,3.4978,2.0,0.3591
1990-04-04,2.7927,3.75,3.8333,3.75,3.8333,496200.0,3.75,3.4067,1.1979,0.0,0.3571
1990-04-05,2.7927,3.75,3.7917,3.75,3.75,1087200.0,3.7667,3.4225,1.543,415.6698,0.354
1990-04-06,2.7927,3.75,3.7917,3.75,3.75,123000.0,3.775,3.4379,0.1668,415.6698,0.35
1990-04-09,2.8237,3.7917,3.7917,3.75,3.75,59400.0,3.775,3.4546,3.7778,0.0,0.3489
1990-04-10,2.7307,3.6667,3.7083,3.625,3.7083,517200.0,3.7417,3.4688,3.2889,1.0,0.3389
1990-04-11,2.7927,3.75,3.75,3.6667,3.7083,253200.0,3.7417,3.4863,1.1358,1.0,0.3337
1990-04-12,2.7462,3.6875,3.7083,3.625,3.6667,223200.0,3.7292,3.505,0.7787,3.0,0.3252
1990-04-16,2.6996,3.625,3.6667,3.625,3.625,678600.0,3.7042,3.5192,1.4261,415.6698,0.3154
1990-04-17,2.6996,3.625,3.625,3.5833,3.5833,225600.0,3.6708,3.5308,0.4162,0.0,0.3063
1990-04-18,2.6996,3.625,3.625,3.5833,3.625,527400.0,3.6625,3.5417,0.7665,415.6698,0.2978
1990-04-19,2.6996,3.625,3.7083,3.5833,3.5833,217800.0,3.6375,3.5521,0.2933,2.0,0.2899
1990-04-20,2.6996,3.625,3.7083,3.625,3.625,597600.0,3.625,3.5638,0.6615,832.3302,0.2825
1990-04-23,2.6686,3.5833,3.6667,3.5417,3.6667,148200.0,3.6167,3.5729,3.5972,0.5,0.2754
1990-04-24,2.56,3.4375,3.5417,3.4375,3.5,322800.0,3.5792,3.5792,2.3797,0.6667,0.2705
1990-04-25,2.5755,3.4583,3.4583,3.375,3.4167,181800.0,3.5458,3.5842,0.9554,1.0,0.2657
1990-04-26,2.5755,3.4583,3.4583,3.375,3.375,128400.0,3.5125,3.5875,0.5639,0.0,0.2612
1990-04-27,2.529,3.3958,3.4583,3.375,3.375,284400.0,3.4667,3.5854,0.91,3.0,0.2586
1990-04-30,2.4988,3.3542,3.375,3.2917,3.375,228600.0,3.4208,3.5833,3.3403,3.0,0.2575
1990-05-01,2.5143,3.375,3.4167,3.3542,3.3542,123000.0,3.4083,3.5808,1.1831,2.0,0.2557
1990-05-02,2.5764,3.4583,3.5,3.4167,3.4583,207600.0,3.4083,3.5833,1.2839,832.3302,0.2521
1990-05-03,2.5143,3.375,3.4375,3.2083,3.4375,409800.0,3.3917,3.5842,1.4126,2.6667,0.2507
1990-05-04,2.5453,3.4167,3.4167,3.3333,3.3333,637200.0,3.3958,3.585,1.3444,0.0,0.2483
1990-05-07,2.5143,3.375,3.4167,3.375,3.375,133800.0,3.4,3.585,3.3889,415.6698,0.2471
1990-05-08,2.5453,3.4167,3.4167,3.375,3.4167,52200.0,3.4083,3.5875,0.955,415.6698,0.245
1990-05-09,2.5764,3.4583,3.4583,3.375,3.4167,648000.0,3.4083,3.59,2.6655,1.0,0.2423
1990-05-10,2.6074,3.5,3.5,3.4167,3.4167,1025400.0,3.4333,3.5908,1.9148,0.0,0.2391
1990-05-11,2.6074,3.5,3.5417,3.4167,3.4583,1180200.0,3.45,3.5908,1.3536,2.0,0.2361
1990-05-14,2.7006,3.625,3.7083,3.5833,3.5833,308400.0,3.5,3.5925,3.6389,2.0,0.2328
1990-05-15,2.7626,3.7083,3.7083,3.625,3.6667,212400.0,3.5583,3.5933,1.5011,1.0,0.2303
1990-05-16,2.6695,3.5833,3.6667,3.5833,3.625,94800.0,3.5833,3.5917,0.5561,1.0,0.2272
1990-05-17,2.7161,3.6458,3.7083,3.5833,3.5833,1250400.0,3.6125,3.5937,2.4431,1.0,0.2243
1990-05-18,2.7006,3.625,3.7083,3.625,3.625,378600.0,3.6375,3.5937,0.6161,832.3302,0.2215
1990-05-21,2.7471,3.6875,3.7083,3.625,3.625,1994400.0,3.65,3.5962,3.6736,0.3333,0.2192
1990-05-22,2.7316,3.6667,3.7083,3.6667,3.6667,598800.0,3.6417,3.5996,0.8499,415.6603,0.2167
1990-05-23,2.7471,3.6875,3.7083,3.6667,3.6667,1464600.0,3.6625,3.6033,1.3309,1.0,0.2145
1990-05-24,2.7626,3.7083,3.75,3.6667,3.7083,395400.0,3.675,3.6046,0.3293,832.3302,0.2126
1990-05-25,2.7626,3.7083,3.7083,3.625,3.6667,121200.0,3.6917,3.6062,0.0975,1.0,0.2108
1990-05-29,2.7626,3.7083,3.7083,3.625,3.625,261600.0,3.6958,3.6079,3.6806,0.0,0.2089
1990-05-30,2.7316,3.6667,3.7083,3.6667,3.6667,235200.0,3.6958,3.6071,1.7425,415.6603,0.2068
1990-05-31,2.7626,3.7083,3.75,3.6667,3.7083,964200.0,3.7,3.6087,2.4473,832.3302,0.2051
1990-06-01,2.7316,3.6667,3.75,3.6667,3.7083,333600.0,3.6917,3.6096,0.6868,1.0,0.2032
1990-06-04,2.7316,3.6667,3.7083,3.625,3.7083,231600.0,3.6833,3.6104,3.6667,1.0,0.2012
1990-06-05,2.6695,3.5833,3.7083,3.5208,3.6667,378000.0,3.6583,3.6096,2.2349,1.25,0.1992
1990-06-06,2.6385,3.5417,3.5625,3.5,3.5417,518400.0,3.6333,3.6079,1.6245,624.0,0.1952
1990-06-07,2.6695,3.5833,3.5833,3.5,3.5,149400.0,3.6083,3.6062,0.4158,0.0,0.1897
