Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty,Deviation
1997-04-16,7.4375,7.4375,7.4375,7.375,7.375,272000.0,7.4875,8.9688,7.4167,0.0,1.5313
1997-04-17,7.5,7.5,7.5,7.375,7.4375,432200.0,7.4625,8.9075,4.5775,1.0,1.4707
1997-04-18,7.25,7.25,7.5,7.25,7.5,337400.0,7.4125,8.85,2.3754,0.0,1.515
1997-04-21,7.0625,7.0625,7.25,7.0,7.1875,482600.0,7.325,8.785,7.1042,1.0,1.5695
1997-04-22,7.0,7.0,7.0625,6.9375,7.0,246000.0,7.25,8.72,2.3634,1249.0,1.6007
1997-04-23,7.0625,7.0625,7.25,7.0625,7.0625,89000.0,7.175,8.6512,0.7756,1874.0,1.5987
1997-04-24,6.9375,6.9375,7.0625,6.9375,7.0,71800.0,7.0625,8.58,0.5634,1.0,1.605
1997-04-25,6.875,6.875,7.0,6.875,7.0,67600.0,6.9875,8.51,0.4886,0.0,1.6088
1997-04-28,6.75,6.75,6.875,6.75,6.875,398200.0,6.925,8.445,6.7917,0.0,1.6186
1997-04-29,7.0,7.0,7.0,6.75,6.8125,154800.0,6.925,8.385,1.9362,0.3333,1.5968
1997-04-30,7.5,7.5,7.75,7.0,7.0,191200.0,7.0125,8.3338,1.9055,0.5,1.5431
1997-05-01,7.5625,7.5625,7.5625,7.4375,7.5,95400.0,7.1375,8.285,0.8546,1.0,1.4921
1997-05-02,7.375,7.375,7.5625,7.375,7.5625,134800.0,7.2375,8.2325,1.0289,0.0,1.4531
1997-05-05,7.5,7.5,7.5,7.3125,7.4375,140400.0,7.3875,8.1825,7.4375,2.0,1.4121
1997-05-06,7.5,7.5,7.6875,7.375,7.5,161400.0,7.4875,8.1325,4.0221,3124.0,1.3739
1997-05-07,7.9375,7.9375,8.0,7.5625,7.5625,38800.0,7.575,8.0912,0.8923,0.1667,1.3309
1997-05-08,7.625,7.625,7.8125,7.625,7.75,135600.0,7.5875,8.0412,2.189,0.5,1.2951
1997-05-09,7.8125,7.8125,7.875,7.625,7.625,88600.0,7.675,7.9975,1.219,0.3333,1.2593
1997-05-12,8.3125,8.3125,8.5625,7.8125,7.8125,95400.0,7.8375,7.9625,8.2292,0.5,1.2284
1997-05-13,8.1875,8.1875,8.3125,8.125,8.3125,83200.0,7.975,7.9262,3.8238,0.5,1.1987
1997-05-14,7.8125,7.8125,8.1875,7.8125,8.1875,163200.0,7.95,7.8925,3.7899,0.0,1.1699
1997-05-15,7.6875,7.6875,7.8125,7.6875,7.8125,18200.0,7.9625,7.855,0.3908,0.0,1.1436
1997-05-16,7.5625,7.5625,7.6875,7.5625,7.6875,77600.0,7.9125,7.8125,1.3485,0.0,1.1197
1997-05-19,7.375,7.375,7.625,7.3125,7.5625,69600.0,7.725,7.7638,7.4375,0.6667,1.099
1997-05-20,7.375,7.375,7.625,7.3125,7.3125,201000.0,7.5625,7.715,5.5245,4.0,1.0789
1997-05-21,7.4375,7.4375,7.4375,7.3125,7.375,108200.0,7.4875,7.6712,2.1125,1.0,1.059
1997-05-22,7.4375,7.4375,7.5,7.375,7.4375,104000.0,7.4375,7.63,1.6021,1249.0,1.0398
1997-05-23,7.5,7.5,7.5,7.4375,7.5,13800.0,7.425,7.6038,0.2078,624.0,1.0213
1997-05-27,7.4375,7.4375,7.5,7.4375,7.5,20400.0,7.4375,7.5838,7.4583,0.0,1.0039
1997-05-28,7.25,7.25,7.4375,7.25,7.4375,67000.0,7.4125,7.56,5.6057,0.0,0.9886
1997-05-29,7.3125,7.3125,7.375,7.25,7.3125,79200.0,7.3875,7.54,3.4763,1249.0,0.9734
1997-05-30,7.25,7.25,7.25,7.1875,7.1875,56600.0,7.35,7.52,1.8332,0.0,0.9593
1997-06-02,7.375,7.375,7.375,7.25,7.25,54800.0,7.325,7.4988,7.3333,0.0,0.9449
1997-06-03,7.3125,7.3125,7.4375,7.25,7.4375,140600.0,7.3,7.4788,5.2767,0.5,0.9313
1997-06-04,7.1875,7.1875,7.3125,7.1875,7.3125,31400.0,7.2875,7.46,1.0009,0.0,0.9191
1997-06-05,7.25,7.25,7.3125,7.1875,7.25,92800.0,7.275,7.45,2.1051,1249.0,0.9068
1997-06-06,7.5,7.5,7.5,7.0625,7.25,262200.0,7.325,7.4438,3.3143,0.75,0.8945
1997-06-09,7.625,7.625,7.6875,7.3125,7.3125,137400.0,7.375,7.4438,7.5417,0.2,0.8832
1997-06-10,7.4375,7.4375,7.6875,7.375,7.6875,53800.0,7.4,7.4425,2.1104,0.25,0.8718
1997-06-11,7.25,7.25,7.375,7.1875,7.375,58400.0,7.4125,7.4412,1.7012,0.5,0.8613
1997-06-12,7.3125,7.3125,7.3125,7.25,7.25,23600.0,7.425,7.4412,0.6299,0.0,0.851
1997-06-13,7.25,7.25,7.3125,7.125,7.3125,86200.0,7.375,7.4375,1.7339,2.0,0.8413
1997-06-16,6.9375,6.9375,7.375,6.9375,7.3125,599800.0,7.2375,7.4262,7.0833,0.1667,0.8348
1997-06-17,7.0,7.0,7.0625,6.9375,7.0,270200.0,7.15,7.4062,2.174,1249.0,0.8275
1997-06-18,7.1875,7.1875,7.3125,6.9375,7.0,1090800.0,7.1375,7.3975,3.9753,1.0,0.8189
1997-06-19,7.1875,7.1875,7.4375,7.125,7.25,315000.0,7.1125,7.3888,1.0035,4.0,0.8105
1997-06-20,7.4375,7.4375,7.4375,7.1875,7.25,440000.0,7.15,7.385,1.1915,0.3333,0.8018
1997-06-23,7.375,7.375,7.4375,7.375,7.4375,526600.0,7.2375,7.3825,7.3958,0.0,0.7934
1997-06-24,7.125,7.125,7.4375,7.0312,7.4375,318200.0,7.2625,7.375,2.7111,0.3,0.7861
1997-06-25,7.0625,7.0625,7.1875,7.0312,7.1875,188400.0,7.2375,7.3688,1.2935,0.25,0.7794
1997-06-26,7.0312,7.0312,7.125,7.0,7.0625,137600.0,7.2062,7.3606,0.8288,3.0,0.7502
1997-06-27,7.0312,7.0312,7.3125,7.0,7.125,156200.0,7.125,7.3512,0.8375,2.3333,0.7247
1997-06-30,7.1562,7.1562,7.2812,7.0625,7.125,345800.0,7.0812,7.3494,7.1667,6.0,0.689
1997-07-01,7.0312,7.0312,7.1562,6.8438,7.1562,148000.0,7.0625,7.3488,2.1011,1.5,0.6461
1997-07-02,7.2188,7.2188,7.2188,7.0312,7.0312,456600.0,7.0938,7.3531,3.4381,0.0,0.5988
1997-07-03,7.2812,7.2812,7.375,7.1562,7.1562,65600.0,7.1438,7.3575,0.4695,0.75,0.5552
1997-07-07,7.1875,7.1875,7.3125,7.125,7.3125,119800.0,7.175,7.3625,0.7603,0.5,0.5049
1997-07-08,7.0,7.0,7.25,6.9375,7.25,96400.0,7.1438,7.365,0.5525,0.25,0.4518
1997-07-09,7.0938,7.0938,7.2188,6.9375,7.0625,97600.0,7.1562,7.3719,0.5199,8.0,0.385
1997-07-10,7.125,7.125,7.1875,7.0625,7.125,108600.0,7.1375,7.3744,0.5379,1249.0,0.3333
1997-07-11,7.0,7.0,7.2188,7.0,7.2188,995200.0,7.0812,7.3644,2.8924,0.0,0.316
1997-07-14,6.9688,6.9688,7.0625,6.9688,7.0625,90400.0,7.0375,7.3525,7.0,0.0,0.3039
1997-07-15,7.0,7.0,7.0625,6.9062,7.0312,230600.0,7.0375,7.345,5.0212,4.0,0.2829
1997-07-16,6.875,6.875,7.0,6.8438,7.0,61800.0,6.9938,7.3325,1.115,0.25,0.2736
1997-07-17,7.0,7.0,7.0,6.75,6.875,232200.0,6.9688,7.3225,2.6115,1.0,0.2626
1997-07-18,6.9375,6.9375,7.0,6.9062,7.0,253200.0,6.9562,7.3025,2.0263,0.5,0.2667
1997-07-21,6.75,6.75,6.9375,6.75,6.9375,140400.0,6.9125,7.285,6.8125,0.0,0.2709
1997-07-22,7.0,7.0,7.0,6.7812,6.7812,319400.0,6.9125,7.2688,4.8119,0.0,0.2723
1997-07-23,6.9375,6.9375,7.0,6.9375,7.0,69800.0,6.925,7.2412,0.9171,0.0,0.2712
1997-07-24,6.6875,6.6875,6.9688,6.5,6.9688,3916000.0,6.8625,7.2112,5.9184,0.6667,0.2787
1997-07-25,6.7812,6.7812,6.7812,6.6875,6.6875,285000.0,6.8312,7.1906,0.4067,0.0,0.2844
1997-07-28,6.9062,6.9062,6.9375,6.75,6.8125,1006400.0,6.8625,7.175,6.8646,1.0,0.286
1997-07-29,7.25,7.25,7.25,6.9062,6.9062,143400.0,6.9125,7.1688,0.8899,0.0,0.284
1997-07-30,7.0,7.0,7.375,7.0,7.25,178000.0,6.925,7.1612,0.9552,0.5,0.2796
1997-07-31,7.0938,7.0938,7.5312,7.0312,7.0312,176400.0,7.0062,7.1556,0.8466,7.0,0.2756
1997-08-01,7.25,7.25,7.25,6.9375,7.0625,56600.0,7.1,7.1519,0.2591,0.6667,0.2739
1997-08-04,7.0625,7.0625,7.2188,7.0625,7.2188,103600.0,7.1312,7.1444,7.1146,0.0,0.2728
1997-08-05,7.0938,7.0938,7.0938,7.0,7.0625,70600.0,7.1,7.1362,2.8623,2.0,0.2725
1997-08-06,7.375,7.375,7.5938,7.0938,7.0938,339000.0,7.175,7.135,4.8579,0.7778,0.2738
