Date,Adj Close,Close,High,Low,Open,Volume,MA_5,MA_50,VWAP,Uncertainty,Deviation
1980-03-12,1.3263,3.6036,3.6036,3.5511,3.5826,1891731.0,3.6782,3.5048,3.5861,1.5,0.0988
1980-03-13,1.3263,3.6036,3.6352,3.5721,3.6036,920880.0,3.6352,3.5165,1.1799,629.3811,0.0932
1980-03-14,1.307,3.5511,3.5931,3.5459,3.5931,1401547.0,3.6036,3.5281,1.1851,0.125,0.0772
1980-03-17,1.249,3.3935,3.5511,3.383,3.5511,1146936.0,3.5469,3.5355,3.4425,0.0667,0.0975
1980-03-18,1.2606,3.425,3.425,3.3462,3.3935,1613325.0,3.5154,3.5438,1.9865,1.5,0.1021
1980-03-19,1.305,3.5459,3.6142,3.4671,3.4671,2260559.0,3.5038,3.5567,1.5949,0.8667,0.0933
1980-03-20,1.2818,3.4828,3.5564,3.4355,3.5459,2629387.0,3.4797,3.5688,1.2001,0.9167,0.0923
1980-03-21,1.2606,3.425,3.4566,3.4198,3.4566,1180250.0,3.4545,3.5801,0.4589,0.1667,0.1023
1980-03-24,1.2316,3.3462,3.4355,3.3252,3.425,2419988.0,3.445,3.5898,3.369,0.4,0.1261
1980-03-25,1.249,3.3935,3.4145,3.32,3.3462,1932183.0,3.4387,3.5992,1.4988,1.0,0.1361
1980-03-26,1.2432,3.3778,3.4303,3.3778,3.3935,797145.0,3.4051,3.6065,0.5256,2.3333,0.147
1980-03-27,1.2335,3.3515,3.404,3.278,3.3778,1656157.0,3.3788,3.6127,0.8139,3.8001,0.1597
1980-03-28,1.2683,3.446,3.4723,3.3515,3.3515,1213563.0,3.383,3.6208,0.5181,0.2778,0.1609
1980-03-31,1.2973,3.5248,3.5459,3.4776,3.4776,920880.0,3.4187,3.6296,3.5161,0.4444,0.1575
1980-04-01,1.276,3.4671,3.5143,3.4355,3.5143,2017847.0,3.4334,3.6356,2.3842,0.6667,0.1583
1980-04-02,1.2799,3.4776,3.5301,3.4566,3.4671,1323022.0,3.4534,3.6415,1.0828,6.0001,0.1586
