year,disaster,death,cost
1983,Hurricane,21,3
1985,Hurricane,9,1.3
1985,Hurricane,14,0.900
1988,Heat wave and Drought,5000,120
1988,Wildfire,2,0.240
1989,Earthquake,69,6
1989,Hurricane,49,7
1990,Tornado,29,0.160
1991,Wildfire,25,1.5
1992,Hurricane,6,3.1
1992,Hurricane,26,25
1993,Blizzard,300,6.6
1993,Flood,50,15
1994,Earthquake,57,23
1995,Flood,6,1.36
1996,Flood,8,0.500
1997,Flood,0,2
1999,Landslide,0,0.70
1998,Blizzard,30,0.5
1999,Hurricane,85,6.5
1999,Tornado,48,1.5
2001,Hurricane,41,5.5
2003,Hurricane,51,3.6
2003,Wildfire,15,1.331
2004,Hurricane,124,19
2004,Hurricane,5,7.5
2004,Hurricane,49,9
2004,Hurricane,10,15
2005,Hurricane,30,21
2005,Hurricane,1836,125
2005,Hurricane,120,10
2005,Hurricane,15,2.5
2005,Tornado,25,0.92
2006,Wildfires,9,0.226
2006,Snow storm,19,0.530
2007,Wildfire,14,2.393
2008,Hurricane,113,38
2008,Hurricane,53,8.31
2008,Tornado,59,1.2
2009,Snow storm,7,2
2010,Blizzard,13,0.150
2011,Tornado,158,2.8
2011,Hurricane,58,14.2
2011,Tornado,346,11
2011,Flood,20,2
2012,Hurricane,147,75
2013,Flood,8,1.9
2013,Tornado,24,2
2014,Tornado,35	1
2015,Flood,25,2
2015,Wildfire,3,8
2016,Wildfire,14,0.990
2016,Hurricane,49,15.090
2016,Blizzard,55,0.500
2017,Wildfire,47,18
2017,Wildfire,0,0.15
2017,Hurricane,3059,91.619
2017,Hurricane,134,77.16
2017,Hurricane and Flood,107,125
2017,Winter storm and flood,5,1.55
2018,Wildfire,97,26.347
2018,Wildfire,85,16.5
2018,Hurricane,74,25.5
2018,Hurricane,54,24.23
2018,Hurricane,1,0.250
2019,Tropical storm,7,5
2019,Earthquake,1,5.3
2019,Hurricane,84,5.1
2020,Wildfire,47,19.884
2020,Wildfire,31,12.079
2020,Derecho,4,11
2020,Hurricane,211,7.9
2020,Hurricane,8,3.6
2020,Hurricane,6,3.086
2020,Hurricane,8,7.3
2020,Hurricane,77,19.1
2020,Hurricane,18,4.725
2020,Hurricane,9,1.2
2021,Hurricane,114,50
2021,Winter storm,176,20.4
