ID,SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJCLOSE
,DIA,1998-01-20,47.16890000,48.20020000,46.76270000,48.16890000,1744600.00000000,48.16890000
,DIA,1998-01-21,47.82680000,48.10800000,47.01430000,47.57680000,1839600.00000000,47.57680000
,DIA,1998-01-22,47.17570000,47.84760000,46.92570000,47.17570000,1662600.00000000,47.17570000
,DIA,1998-01-23,47.56110000,47.81110000,46.37360000,47.06110000,1693700.00000000,47.06110000
,DIA,1998-01-26,47.31460000,47.61150000,46.87710000,47.25210000,1172800.00000000,47.25210000
,DIA,1998-01-27,46.71230000,48.14980000,46.66540000,47.80600000,1454500.00000000,47.80600000
,DIA,1998-01-28,47.60980000,48.46920000,47.45360000,48.35980000,1181200.00000000,48.35980000
,DIA,1998-01-29,48.18800000,49.37550000,48.01620000,48.53180000,1468500.00000000,48.53180000
,DIA,1998-01-30,49.12980000,49.12980000,48.16110000,48.42670000,1095600.00000000,48.42670000
,DIA,1998-02-02,49.12480000,49.81230000,48.90600000,49.51540000,955600.00000000,49.51540000
,DIA,1998-02-03,49.25070000,49.92260000,48.90700000,49.90700000,619400.00000000,49.90700000
,DIA,1998-02-04,49.63950000,50.07700000,49.23330000,49.63950000,753200.00000000,49.63950000
,DIA,1998-02-05,50.22720000,50.32100000,49.14910000,49.64910000,1067600.00000000,49.64910000
,DIA,1998-02-06,49.57450000,50.24640000,49.43390000,50.18390000,1069700.00000000,50.18390000
,DIA,1998-02-09,50.29580000,50.45210000,49.63960000,49.98330000,515900.00000000,49.98330000
,DIA,1998-02-10,49.69870000,51.01120000,49.58940000,50.82370000,892100.00000000,50.82370000
,DIA,1998-02-11,50.63620000,51.05810000,50.51120000,50.82370000,515000.00000000,50.82370000
,DIA,1998-02-12,50.19530000,51.57030000,49.83590000,51.14840000,1065000.00000000,51.14840000
,DIA,1998-02-13,50.82290000,51.32290000,50.65100000,51.11970000,596700.00000000,51.11970000
,DIA,1998-02-17,51.62760000,52.03380000,51.20570000,51.37760000,840600.00000000,51.37760000
,DIA,1998-02-18,51.17450000,51.79950000,50.94010000,51.72140000,773000.00000000,51.72140000
,DIA,1998-02-19,52.04690000,52.10940000,51.23440000,51.23440000,804800.00000000,51.23440000
,DIA,1998-02-20,51.30810000,51.69880000,50.54250000,51.51130000,540600.00000000,51.51130000
,DIA,1998-02-23,52.24220000,52.24220000,51.21090000,51.49220000,639200.00000000,51.49220000
,DIA,1998-02-24,51.46440000,51.74560000,50.87060000,51.33940000,702700.00000000,51.33940000
,DIA,1998-02-25,51.32210000,52.22830000,51.15020000,51.75960000,687400.00000000,51.75960000
,DIA,1998-02-26,51.49920000,52.10860000,51.29610000,52.04610000,439800.00000000,52.04610000
,DIA,1998-02-27,51.82900000,52.67280000,51.61030000,52.31340000,451300.00000000,52.31340000
,DIA,1998-03-02,52.42110000,52.53050000,51.95240000,52.38990000,1062800.00000000,52.38990000
,DIA,1998-03-03,51.73800000,52.64420000,51.70670000,52.62860000,596600.00000000,52.62860000
,DIA,1998-03-04,52.36900000,52.61900000,51.85340000,52.27520000,691700.00000000,52.27520000
,DIA,1998-03-05,51.53560000,52.30130000,51.25440000,51.81690000,778300.00000000,51.81690000
,DIA,1998-03-06,51.64340000,52.58090000,51.64340000,52.58090000,933100.00000000,52.58090000
,DIA,1998-03-09,52.23530000,53.18840000,52.20410000,52.48530000,685300.00000000,52.48530000
,DIA,1998-03-10,52.65730000,53.03230000,52.43850000,53.00100000,563700.00000000,53.00100000
,DIA,1998-03-11,53.11040000,53.40730000,52.90730000,53.17290000,406600.00000000,53.17290000
,DIA,1998-03-12,53.15300000,53.27800000,52.52800000,53.10610000,576700.00000000,53.10610000
,DIA,1998-03-13,53.68850000,53.75100000,52.59470000,52.65720000,458900.00000000,52.65720000
,DIA,1998-03-16,52.55320000,53.45950000,52.33450000,53.45950000,733000.00000000,53.45950000
,DIA,1998-03-17,53.15650000,53.65650000,52.95340000,53.64090000,499900.00000000,53.64090000
,DIA,1998-03-18,53.38400000,53.80590000,53.07150000,53.77460000,410900.00000000,53.77460000
,DIA,1998-03-19,53.69300000,53.98990000,53.53680000,53.92740000,730000.00000000,53.92740000
,DIA,1998-03-20,53.89710000,54.74080000,53.61580000,54.49080000,754300.00000000,54.49080000
,DIA,1998-03-23,54.78330000,54.78330000,53.98640000,54.08010000,551600.00000000,54.08010000
,DIA,1998-03-24,54.19400000,55.08460000,54.14710000,54.66270000,470300.00000000,54.66270000
,DIA,1998-03-25,55.50640000,55.50640000,53.69390000,54.31890000,966200.00000000,54.31890000
,DIA,1998-03-26,54.38480000,54.83790000,54.05670000,54.16610000,412800.00000000,54.16610000
,DIA,1998-03-27,55.02460000,55.08710000,53.55590000,53.94650000,584100.00000000,53.94650000
,DIA,1998-03-30,54.00460000,54.28590000,53.41090000,53.87960000,562400.00000000,53.87960000
,DIA,1998-03-31,54.18000000,55.02370000,53.77370000,53.89870000,620000.00000000,53.89870000
,DIA,1998-04-01,53.77900000,54.62270000,53.13830000,54.35710000,373700.00000000,54.35710000
,DIA,1998-04-02,53.85200000,55.19570000,53.77390000,55.10200000,440600.00000000,55.10200000
,DIA,1998-04-03,55.22010000,55.54820000,54.78260000,55.06380000,493300.00000000,55.06380000
,DIA,1998-04-06,55.73570000,56.11070000,55.20440000,55.23570000,610500.00000000,55.23570000
,DIA,1998-04-07,55.42400000,55.43960000,54.29900000,54.93960000,707300.00000000,54.93960000
,DIA,1998-04-08,55.34850000,55.34850000,54.11410000,54.56720000,949500.00000000,54.56720000
,DIA,1998-04-09,54.51690000,55.32940000,54.48570000,55.23570000,451700.00000000,55.23570000
,DIA,1998-04-13,55.60720000,55.60720000,54.43540000,55.21660000,337900.00000000,55.21660000
,DIA,1998-04-14,54.97880000,55.96320000,54.97880000,55.88510000,451500.00000000,55.88510000
,DIA,1998-04-15,55.87900000,56.23840000,55.42590000,56.23840000,261800.00000000,56.23840000
,DIA,1998-04-16,56.29650000,56.29650000,55.39020000,55.65580000,232800.00000000,55.65580000
,DIA,1998-04-17,55.28870000,56.30430000,55.13240000,56.25740000,382900.00000000,56.25740000
,DIA,1998-04-20,56.30510000,56.36760000,55.71140000,56.00820000,299400.00000000,56.00820000
,DIA,1998-04-21,55.72590000,56.39770000,55.44460000,56.38210000,372000.00000000,56.38210000
,DIA,1998-04-22,56.35940000,56.60940000,56.18750000,56.34370000,503400.00000000,56.34370000
,DIA,1998-04-23,56.42410000,56.73660000,55.81470000,56.01780000,597700.00000000,56.01780000
,DIA,1998-04-24,56.22000000,56.56380000,55.06380000,55.54810000,820200.00000000,55.54810000
,DIA,1998-04-27,54.94010000,55.37760000,53.89320000,54.75260000,1916800.00000000,54.75260000
,DIA,1998-04-28,55.63640000,55.73020000,54.26140000,54.58960000,437200.00000000,54.58960000
,DIA,1998-04-29,54.71730000,55.38920000,54.35800000,54.85800000,298700.00000000,54.85800000
,DIA,1998-04-30,55.20250000,56.18690000,55.09320000,55.74940000,443100.00000000,55.74940000
,DIA,1998-05-01,55.66620000,56.22870000,55.38490000,56.22870000,338300.00000000,56.22870000
,DIA,1998-05-04,56.49650000,57.09020000,56.32460000,56.32460000,542500.00000000,56.32460000
,DIA,1998-05-05,56.13890000,56.49830000,55.60770000,56.12330000,325600.00000000,56.12330000
,DIA,1998-05-06,56.94770000,56.96330000,55.38520000,55.38520000,665500.00000000,55.38520000
,DIA,1998-05-07,55.94030000,55.94030000,55.03400000,55.04960000,593100.00000000,55.04960000
,DIA,1998-05-08,54.60030000,55.83470000,54.53780000,55.78780000,638100.00000000,55.78780000
,DIA,1998-05-11,56.13750000,56.70000000,55.54380000,55.77820000,703100.00000000,55.77820000
,DIA,1998-05-12,55.37600000,56.39170000,55.07920000,56.39170000,479000.00000000,56.39170000
,DIA,1998-05-13,56.24920000,56.70240000,55.96800000,56.59300000,399400.00000000,56.59300000
,DIA,1998-05-14,56.07460000,56.80900000,55.85580000,56.32460000,622900.00000000,56.32460000
,DIA,1998-05-15,56.83430000,56.83430000,55.75620000,55.75620000,280900.00000000,55.75620000
,DIA,1998-05-18,55.93680000,56.38990000,55.06180000,55.59300000,249200.00000000,55.59300000
,DIA,1998-05-19,56.17470000,56.36220000,55.42470000,55.61220000,482100.00000000,55.61220000
,DIA,1998-05-20,55.82930000,56.45430000,55.22000000,56.36060000,304400.00000000,56.36060000
,DIA,1998-05-21,56.67360000,56.90800000,55.84550000,56.11110000,530600.00000000,56.11110000
,DIA,1998-05-22,56.38420000,56.38420000,55.72790000,56.02480000,219000.00000000,56.02480000
,DIA,1998-05-26,57.13380000,57.24320000,55.05570000,55.05570000,561300.00000000,55.05570000
,DIA,1998-05-27,54.39950000,55.25880000,53.33700000,55.05570000,1041100.00000000,55.05570000
,DIA,1998-05-28,55.02280000,55.36660000,54.46030000,55.25720000,367700.00000000,55.25720000
,DIA,1998-05-29,55.99430000,56.13500000,54.55680000,54.55680000,232400.00000000,54.55680000
,DIA,1998-06-01,54.12100000,55.35540000,54.08970000,54.90220000,445800.00000000,54.90220000
,DIA,1998-06-02,55.40520000,55.54580000,54.45210000,54.62400000,391600.00000000,54.62400000
,DIA,1998-06-03,55.47390000,55.50520000,53.91140000,53.94270000,473100.00000000,53.94270000
,DIA,1998-06-04,53.57000000,54.64810000,53.22620000,54.58560000,636200.00000000,54.58560000
,DIA,1998-06-05,54.40390000,55.79450000,53.93510000,55.79450000,1014000.00000000,55.79450000
,DIA,1998-06-08,55.66110000,56.16110000,55.39540000,55.83290000,467900.00000000,55.83290000
,DIA,1998-06-09,55.79590000,56.03030000,55.34280000,55.71780000,180100.00000000,55.71780000
,DIA,1998-06-10,55.64460000,56.48830000,54.94140000,55.11330000,531300.00000000,55.11330000
,DIA,1998-06-11,56.02170000,56.13110000,54.11540000,54.11540000,529200.00000000,54.11540000
,DIA,1998-06-12,54.00910000,54.44660000,52.69660000,54.38410000,909200.00000000,54.38410000
,DIA,1998-06-15,54.37300000,54.74800000,52.76360000,52.81050000,617400.00000000,52.81050000
,DIA,1998-06-16,53.31550000,53.44050000,52.44050000,53.29990000,796500.00000000,53.29990000
,DIA,1998-06-17,53.56670000,54.95730000,53.34790000,54.44170000,895100.00000000,54.44170000
,DIA,1998-06-18,54.35560000,54.63680000,54.01180000,54.23060000,219000.00000000,54.23060000
,DIA,1998-06-19,54.91600000,55.05660000,53.36910000,53.58780000,506100.00000000,53.58780000
,DIA,1998-06-22,53.66120000,54.17680000,53.27060000,53.64560000,161500.00000000,53.64560000
,DIA,1998-06-23,53.66720000,54.43280000,53.66720000,54.38590000,201600.00000000,54.38590000
,DIA,1998-06-24,54.15640000,55.09390000,53.51580000,54.95330000,353100.00000000,54.95330000
,DIA,1998-06-25,55.38110000,55.80300000,54.64680000,55.19360000,420200.00000000,55.19360000
,DIA,1998-06-26,55.09990000,55.44360000,54.84990000,55.19360000,150400.00000000,55.19360000
,DIA,1998-06-29,55.52540000,55.99410000,55.33790000,55.46290000,297700.00000000,55.46290000
,DIA,1998-06-30,55.41240000,55.66240000,54.86550000,55.19360000,395600.00000000,55.19360000
,DIA,1998-07-01,55.53260000,55.82950000,55.04830000,55.75140000,347100.00000000,55.75140000
,DIA,1998-07-02,55.61550000,55.84990000,55.41240000,55.56860000,263900.00000000,55.56860000
,DIA,1998-07-06,55.21780000,56.15530000,54.93650000,56.15530000,166500.00000000,56.15530000
,DIA,1998-07-07,56.13110000,56.52180000,55.67800000,56.06860000,155700.00000000,56.06860000
,DIA,1998-07-08,55.82230000,56.61920000,55.74420000,56.58800000,146900.00000000,56.58800000
,DIA,1998-07-09,56.42440000,56.95570000,55.51820000,55.92440000,151500.00000000,55.92440000
,DIA,1998-07-10,55.94250000,56.38000000,55.25500000,56.14560000,127800.00000000,56.14560000
,DIA,1998-07-13,56.38240000,56.92920000,55.80420000,55.99170000,164400.00000000,55.99170000
